year	dead	missing	deadmissing	survivors	lat	lon	route
2018	1		1		32.525530100000	 -117.009588600000	Central America to US
2018	1	13	14	42	36.125482848253	 -3.019234607813	Western Mediterranean
2018	1	6	7	11	37.101562000000	 7.867572000000	Central Mediterranean
2018	1		1		32.604487000000	 -115.379027000000	Central America to US
2018	2		2		27.088454736067	 -98.224044482031	Central America to US
2018	1		1		32.525530100000	 -117.009588600000	Central America to US
2018	1		1		32.511197835073	 -116.080225617040	Central America to US
2018	1		1	10	36.957355521278	 27.406164084473	Eastern Mediterranean
2018	2	7	9	1	36.207723272813	 -6.263366759375	Western Mediterranean
2018	1		1		27.330210520667	 -98.630746182528	Central America to US
2018		22	22	3	29.822677770283	 -10.210486774219	Western African
2018	1		1		51.095487806190	 1.120740941664	
2018	1		1		16.525452000000	 -85.875321000000	
2018	1		1		2.125278000000	 13.511667000000	
2018	1		1		25.888653822568	 -97.523186761530	Central America to US
2018	1		1		19.025215788750	 -96.317462928047	
2018	1		1		20.023597000000	 -99.217633000000	
2018	4	6	10	3	38.844062326256	 8.408826454492	Central Mediterranean
2018	1		1		27.381818793300	 -99.448285378522	Central America to US
2018	1		1		44.765773000000	 20.467632000000	Western Balkans
2018	5		5		34.587575000000	 8.271988000000	
2018	1		1	1	27.194011764208	 -98.274634046484	Central America to US
2018	6	4	10	5	39.076232633511	 26.729897242187	Eastern Mediterranean
2018	2		2	5	27.149020794829	 63.291549697656	
2018	1		1	9	40.706812500000	 23.191562500000	Western Balkans
2018	1		1		44.522738789151	 19.151800033374	Western Balkans
2018	1		1		-8.002778000000	 12.639167000000	
2018	1		1		7.985137000000	 16.967643000000	
2018	1		1	27	40.739954570559	 23.016855162231	Western Balkans
2018	2		2	13	36.709463477802	 -4.221767056592	Western Mediterranean
2018	1		1		35.896543454211	 -5.300197427261	Western Mediterranean
2018		1	1	40	35.203978684726	 12.812646562500	Central Mediterranean
2018	6		6		6.666557000000	 100.304106000000	
2018	1		1		27.031213823663	 -97.970171350586	Central America to US
2018	1		1		6.666557000000	 100.304106000000	
2018		5	5		37.596845000000	 7.868337000000	Central Mediterranean
2018	1		1		-5.666667000000	 11.316667000000	
2018	1		1		36.829138418553	 37.987020277664	
2018	3		3		-5.666667000000	 11.316667000000	
2018	1		1		28.330220711783	 -100.301303382470	Central America to US
2018	1		1		19.911531499716	 -99.363792495337	
2018	5		5	16	38.645007505791	 44.204894246094	
2018	1		1		-5.666667000000	 11.316667000000	
2018	23		23	22	36.146208377123	 -6.010210826953	Western Mediterranean
2018	13	18	31	80	35.537958511526	 -2.934664072461	Western Mediterranean
2018	1		1		39.488630000000	 20.280311000000	
2018	2		2		-5.653611000000	 10.487500000000	
2018	1		1		31.967683100000	 -113.013308300000	Central America to US
2018	1		1		10.391039000000	 98.776573000000	
2018	1		1		0.366667000000	 12.050000000000	
2018	1		1		1.390000000000	 12.190000000000	
2018	1		1		28.507101348765	 -100.318219816460	Central America to US
2018	1		1		-12.784647790344	 45.100326031250	
2018	1		1		-4.283333000000	 11.183333000000	
2018	1		1		31.674569600000	 -110.922837800000	Central America to US
2018	1		1		14.960978200000	 -91.807458600000	
2018	1		1		25.881211791344	 -97.479659873636	Central America to US
2018	2		2		0.366667000000	 12.050000000000	
2018	2		2		0.366667000000	 12.050000000000	
2018	1		1		31.812760500000	 -109.728415100000	Central America to US
2018	1		1		35.996902662085	 36.359899433160	
2018		1	1		44.522662295480	 19.152572509570	
2018	7		7		-4.283333000000	 11.183333000000	
2018	1		1		17.596983200000	 -92.826550300000	
2018	3		3		44.788894000000	 8.734584000000	
2018	3		3		26.693147000000	 22.396611000000	
2018	1		1		26.408852300000	 -99.015655400000	Central America to US
2018	1		1		35.157968537571	 -2.905610943750	Western Mediterranean
2018	2		2		27.103538000000	 19.635357000000	
2018	1		1		14.509939000000	 26.910418000000	
2018	1		1		-1.616667000000	 6.666667000000	
2018	1		1		14.676584275856	 -92.147321116516	
2018	1		1		32.777507000000	 -9.311028000000	
2018	1		1		34.325744000000	 -14.395626000000	
2018	2		2		42.787821000000	 9.322813000000	
2018	1		1		-0.616667000000	 12.250000000000	
2018	1		1	54	35.818965090848	 -4.128170864062	Western Mediterranean
2018	1		1	12	36.951540206154	 27.239748161133	Eastern Mediterranean
2018		54	54		35.783607000000	 -3.071865000000	Western Mediterranean
2018	2		2		36.152215000000	 12.953846000000	
2018	1		1		44.059039000000	 9.511606000000	
2018	1		1		23.823002000000	 21.143170000000	
2018	1	13	14	2	35.442087951783	 -3.127679063281	Western Mediterranean
2018	2		2		34.434549000000	 18.074280000000	
2018	2		2		35.357502053477	 -3.798174029297	Western Mediterranean
2018	6		6		35.858384350643	 36.116948497315	
2018	1		1		40.880611200000	 26.045885000000	
2018	1	2	3		41.507704846227	 26.598028237012	
2018	1		1		5.540402403214	 -73.361254635582	
2018	1		1		36.152215000000	 12.953846000000	
2018	1		1		-1.535278000000	 12.357222000000	
2018	1		1		31.488233400000	 -111.542807100000	Central America to US
2018	1		1		28.674062000000	 -12.949113000000	
2018	1		1		36.797570000000	 -2.552360000000	
2018	1		1		27.916851000000	 20.610678000000	
2018	1		1		32.057499000000	 -111.666072500000	Central America to US
2018	3		3	31	37.013780762096	 27.441440497437	Eastern Mediterranean
2018	1		1		15.110817101047	 -92.430899979102	
2018	7		7	5	-4.841440546257	 39.456025576692	
2018	1		1		27.285937858565	 -99.401121846289	Central America to US
2018	1		1		46.451457000000	 9.020952000000	
2018	2		2		35.317074762986	 -2.958625089834	Western Mediterranean
2018	6		6		16.661687669465	 -92.558634566602	
2018	1		1		28.505441998889	 -100.324571287400	Central America to US
2018	1		1		33.782244000000	 -13.861550000000	
2018	1		1		34.434549000000	 18.074280000000	
2018	1		1		14.449858800000	 -90.642999900000	
2018	1		1		35.288086655038	 -3.114351178125	Western Mediterranean
2018	1		1		27.224544909800	 -98.302099866797	Central America to US
2018	1		1		39.230025000000	 -15.137787000000	
2018	2		2	5	12.400089953733	 -69.849548327148	
2018	1		1		28.276403152662	 -99.749371650298	Central America to US
2018	1		1		33.637539000000	 -16.083382000000	
2018	1		1		33.782244000000	 -13.861550000000	
2018	2		2		-8.998136000000	 12.054854000000	
2018	1		1		32.057499000000	 -111.666072500000	Central America to US
2018	1		1	1	32.621507588195	 -114.810131103780	Central America to US
2018	1		1		31.967683100000	 -113.013308300000	Central America to US
2018	1		1		31.969853700000	 -111.427588800000	Central America to US
2018	1		1		32.057701900000	 -112.143021500000	Central America to US
2018	1		1		35.756883552199	 -0.755644093457	Western Mediterranean
2018	1		1	38	35.846340387609	 -5.913605178906	Western Mediterranean
2018	2		2		20.614104849530	 -100.822961473630	
2018	2		2		34.434549000000	 18.074280000000	
2018	2		2		27.103538000000	 19.635357000000	
2018	2		2		-7.716667000000	 4.366667000000	
2018	1		1		-7.716667000000	 4.366667000000	
2018	1		1		8.988333000000	 13.805278000000	
2018	1		1		27.500016908291	 -99.501840408371	Central America to US
2018	22		22	13	38.277054882761	 27.182584225098	
2018	1		1		35.973656616085	 -0.352090264063	Western Mediterranean
2018	1		1		29.996078000000	 -22.224039000000	
2018	2		2		-5.038495000000	 7.236226000000	
2018	2		2		-5.048118000000	 8.621028000000	
2018	1		1		-3.009444000000	 16.775833000000	
2018	1		1		13.578635000000	 5.261657000000	
2018	11		11		40.946035470324	 24.432263735596	Western Balkans
2018	1		1		27.499961707713	 -99.503442093950	Central America to US
2018	3		3		27.027305700000	 -98.221297900000	Central America to US
2018	1		1		38.116099000000	 4.884933000000	
2018	1		1		47.417650000000	 6.770377000000	
2018	3	17	20	35	36.125482848253	 -3.063179920313	Western Mediterranean
2018	2		2		35.824565299138	 -0.803768973047	Western Mediterranean
2018	2	2	4	13	35.968663407358	 -0.020727710156	Western Mediterranean
2018	1		1		39.230025000000	 -15.137787000000	
2018	1		1		26.220454957995	 -98.473941930103	Central America to US
2018		2	2	9	35.870826490690	 -5.847687210156	Western Mediterranean
2018	1		1		35.812872875659	 -0.806515555078	Western Mediterranean
2018	1		1		35.818105158253	 -0.168227100000	Western Mediterranean
2018	1		1		26.867147113445	 -99.312967553223	Central America to US
2018	5	1	6		7.752677115492	 -72.472915616919	
2018	6		6		8.740138000000	 4.916402000000	
2018	3		3		41.339916614722	 26.519326470020	
2018	1		1		27.363578886489	 -99.503473277954	Central America to US
2018	2		2		35.817327335279	 -0.801022391016	Western Mediterranean
2018	2		2		2.125278000000	 13.511667000000	
2018	1		1		-4.198611000000	 14.495833000000	
2018	1		1		7.985137000000	 16.967643000000	
2018	1		1		26.010098116239	 -97.398606846875	Central America to US
2018	1		1		32.550056000000	 -25.727874000000	
2018	1		1		31.734394600000	 -112.115492200000	Central America to US
2018	8	26	34	1	38.798437504788	 26.517544518555	Eastern Mediterranean
2018	1		1		26.693147000000	 22.396611000000	
2018	1		1		-5.666667000000	 11.316667000000	
2018	1	5	6	5	33.919350740267	 11.347771211719	Central Mediterranean
2018	1		1		-4.916667000000	 10.283333000000	
2018	3		3		-1.616667000000	 6.666667000000	
2018	1		1		-5.933333000000	 6.133333000000	
2018	2		2		0.203611000000	 10.867778000000	
2018	1		1		-5.497591000000	 7.988257000000	
2018	2		2		11.210000000000	 5.200000000000	
2018	2		2		11.210000000000	 5.200000000000	
2018	1		1		44.059039000000	 9.511606000000	
2018	1		1		-4.283333000000	 11.183333000000	
2018	1		1		18.764062500000	 -97.406687500000	Central America to US
2018	2		2	63	11.538152737709	 -17.142159215820	
2018	1		1		41.743599816322	 26.063311471875	Western Balkans
2018	2		2		34.587575000000	 8.271988000000	
2018	2		2		27.672666000000	 21.943709000000	
2018	2		2		-3.150000000000	 10.580000000000	
2018	1		1		31.916318900000	 -112.935779900000	Central America to US
2018	1		1	36	35.129407600000	 -3.323790200000	
2018	1		1		-4.198611000000	 14.495833000000	
2018	2		2		9.302600000000	 5.790770000000	
2018	1		1		-1.329927000000	 15.670295000000	
2018	1		1		32.131434800000	 -112.344031300000	Central America to US
2018	3		3		37.809518000000	 44.603174000000	
2018	15	19	34	26	35.936532863732	 -6.646877176971	Western Mediterranean
2018	1		1		28.332460772696	 -100.303293400160	Central America to US
2018		1	1		33.533312500000	 12.633312500000	Central Mediterranean
2018	2		2		42.787821000000	 9.322813000000	
2018	1		1		43.343533000000	 9.599192000000	
2018	1		1		20.386066000000	 29.625085000000	
2018	5	2	7	3	40.715396386106	 26.025522486328	Eastern Mediterranean
2018	2		2		32.705222754724	 -115.647349838320	Central America to US
2018	1		1	1	26.157687500000	 -98.378437500000	Central America to US
2018	1		1		28.497581002661	 -100.333312005250	Central America to US
2018	1		1		-1.535278000000	 12.357222000000	
2018	1		1		36.152215000000	 12.953846000000	
2018	1		1		-0.366667000000	 11.783333000000	
2018	1		1		-2.200000000000	 23.430000000000	
2018	1		1		31.881299800000	 -112.816742600000	Central America to US
2018	1		1		36.728184551089	 -3.746214307471	Western Mediterranean
2018	1		1		31.805169461996	 14.024836888672	
2018	1		1		36.013813640800	 36.375692279839	
2018	1		1		33.931714000000	 -9.962840000000	
2018	1		1		34.434549000000	 18.074280000000	
2018	2		2		39.383861000000	 14.513764000000	
2018	1		1		27.603398871036	 -99.356489888281	Central America to US
2018	3		3		39.065407000000	 3.536064000000	
2018	1		1		33.870444000000	 -13.662830000000	
2018	1		1		33.782244000000	 -13.861550000000	
2018	1		1		26.693147000000	 22.396611000000	
2018	2		2		34.434549000000	 18.074280000000	
2018	1		1	24	35.844528862139	 -5.324127403955	Western Mediterranean
2018	1		1		35.938908600000	 -3.035714100000	Western Mediterranean
2018	1		1		26.224438952801	 -98.445105980426	Central America to US
2018	1		1		26.256393500000	 -98.057509300000	Central America to US
2018	1		1		31.838942700000	 -111.843298100000	Central America to US
2018	1		1		32.087759600000	 -112.905880200000	Central America to US
2018	1		1		40.527028000000	 -13.009242000000	
2018	2		2		27.916851000000	 20.610678000000	
2018	1		1		42.625090000000	 11.018296000000	
2018	2		2		14.025968000000	 31.723048000000	
2018	3		3		39.230025000000	 -15.137787000000	
2018	1		1	16	36.941480839183	 27.286349508984	Eastern Mediterranean
2018	1		1	2	50.970998507163	 1.850203957581	
2018	1		1		35.664937500000	 -5.284312500000	Western Mediterranean
2018	1		1		42.923337000000	 11.312407000000	
2018	2		2		33.782244000000	 -13.861550000000	
2018	1		1		27.916851000000	 20.610678000000	
2018	1		1	38	34.521407586436	 35.486568281250	Eastern Mediterranean
2018	1		1		32.550056000000	 -25.727874000000	
2018	1		1		13.917070000000	 14.223639100000	
2018	1		1		14.892968685740	 -92.274523727261	Central America to US
2018	1		1		35.904039081783	 -5.272830745972	Western Mediterranean
2018	1		1		27.028155603470	 -98.209467310059	Central America to US
2018	1		1		32.385979600000	 -113.011515600000	Central America to US
2018	2		2		27.672666000000	 21.943709000000	
2018	1		1		29.988756000000	 -22.224428000000	
2018	2		2		32.777507000000	 -9.311028000000	
2018	1		1		-1.700000000000	 15.280000000000	
2018	1		1		7.985137000000	 16.967643000000	
2018	1		1		36.744442395389	 -3.167758518494	Western Mediterranean
2018	1		1		27.196149356670	 -98.190176649023	Central America to US
2018	1		1		31.521728800000	 -111.007408900000	Central America to US
2018	1		1		31.684811700000	 -111.996353900000	Central America to US
2018	1		1		26.693147000000	 22.396611000000	
2018	1		1		45.022576000000	 10.426632000000	
2018	1		1		7.985137000000	 16.967643000000	
2018	1		1	56	35.876619034558	 -3.037087391016	Western Mediterranean
2018	1		1	22	16.665014119834	 -96.297290312134	
2018	1		1		28.628036100000	 -100.158954100000	Central America to US
2018	4		4	3	33.006477473452	 -111.374376896790	Central America to US
2018	1		1	2	32.869641713199	 -116.349275353910	Central America to US
2018	3		3		27.103538000000	 19.635357000000	
2018	2		2		-5.016667000000	 7.683333000000	
2018	2		2		-6.266667000000	 13.450000000000	
2018	1		1		36.413971904222	 -3.480957442578	Western Mediterranean
2018	1		1		-11.433333000000	 14.450000000000	
2018	1		1		-17.446667000000	 14.692778000000	
2018	1		1		2.433333000000	 6.366667000000	
2018	1		1		-13.700000000000	 9.516667000000	
2018	1		1		-4.100000000000	 14.533333000000	
2018	2	1	3	16	37.006515703833	 27.431140814819	Eastern Mediterranean
2018	3		3		29.732195242955	 24.810723377344	
2018	1		1		36.727135137532	 -3.747944917041	Western Mediterranean
2018	1		1		8.339431000000	 17.275026000000	
2018		1	1	54	36.072450542211	 -3.002072231250	Western Mediterranean
2018	1		1		32.675119338573	 -115.360408899350	Central America to US
2018	1		1		-12.714997446292	 45.050887554688	
2018	1		1		39.230025000000	 -15.137787000000	
2018	1		1		33.870444000000	 -13.662830000000	
2018	2		2		-5.283333000000	 6.816667000000	
2018	1		1		2.083920000000	 13.511667000000	
2018	1		1		0.954152000000	 11.176623000000	
2018	2		2		8.188231000000	 17.288454000000	
2018	1		1		27.496566919972	 -99.491563561902	Central America to US
2018	1		1		36.722084353020	 -3.357001443347	Western Mediterranean
2018	1		1		16.437103353168	 -94.574379006567	Central America to US
2018	1		1		-4.033333000000	 5.316667000000	
2018	2		2		-11.900000000000	 11.583333000000	
2018	1		1		32.087759600000	 -112.905880200000	Central America to US
2018	1		1		39.081499000000	 -6.816579000000	
2018	1		1		-0.050000000000	 16.266667000000	
2018	2		2		7.985137000000	 16.967643000000	
2018	1		1		35.915226361080	 -5.269480794175	Western Mediterranean
2018	3		3		35.265581018218	 -2.914681639551	Western Mediterranean
2018	1		1	21	38.375852669921	 34.027607670570	
2018	1		1		31.814667100000	 -111.857700800000	Central America to US
2018	3		3		-11.459961000000	 14.499142000000	
2018	4		4		-7.463892000000	 10.597203000000	
2018	2		2		35.966158873053	 36.296013507247	
2018	1		1	1	32.692839200000	 -115.816672900000	Central America to US
2018	1		1		50.966811406705	 3.850359244678	
2018	1		1		-4.198611000000	 14.495833000000	
2018	1		1		36.779379943873	 -2.593665135165	Western Mediterranean
2018	1		1		32.719781100000	 -116.172516800000	Central America to US
2018	1		1		31.829413600000	 -111.837116800000	Central America to US
2018	1		1		32.386472500000	 -112.872826200000	Central America to US
2018	2		2		27.103538000000	 19.635357000000	
2018	6		6		35.189678817192	 -3.381137862305	Western Mediterranean
2018	1		1		31.500087200000	 -111.474716200000	Central America to US
2018	1		1		-5.200000000000	 9.583333000000	
2018	2		2		-5.666667000000	 11.316667000000	
2018	1		1		51.142912111817	 2.866106903516	
2018	2		2		17.996554923197	 -95.414854964648	
2018	1		1		25.731155452389	 -100.539507605470	
2018	2		2		27.672666000000	 21.943709000000	
2018	2		2		23.823002000000	 21.143170000000	
2018	6		6		15.752160000000	 18.617049000000	
2018	1		1		2.028723000000	 93.521504000000	
2018	1		1		35.940562500000	 36.189187500000	
