type	lat	lon	name	desc
T	6.288640000	-10.771440000		
T	6.288340000	-10.770970000		
T	6.288180000	-10.770750000		
T	6.288060000	-10.770590000		
T	6.287830000	-10.770360000		
T	6.287430000	-10.769950000		
T	6.287220000	-10.769740000		
T	6.287010000	-10.769550000		
T	6.286580000	-10.769190000		
T	6.286430000	-10.769080000		
T	6.286410000	-10.769070000		
T	6.286170000	-10.768910000		
T	6.285960000	-10.768780000		
T	6.285920000	-10.768750000		
T	6.284780000	-10.768140000		
T	6.284220000	-10.767820000		
T	6.284090000	-10.767760000		
T	6.283670000	-10.767520000		
T	6.283620000	-10.767500000		
T	6.283050000	-10.767190000		
T	6.282890000	-10.767090000		
T	6.282740000	-10.767000000		
T	6.282440000	-10.766810000		
T	6.281970000	-10.766460000		
T	6.281910000	-10.766410000		
T	6.281660000	-10.766200000		
T	6.281370000	-10.765940000		
T	6.281010000	-10.765560000		
T	6.280840000	-10.765370000		
T	6.280760000	-10.765280000		
T	6.280680000	-10.765170000		
T	6.280590000	-10.765060000		
T	6.280500000	-10.764950000		
T	6.280280000	-10.764630000		
T	6.280170000	-10.764450000		
T	6.280060000	-10.764270000		
T	6.279870000	-10.763900000		
T	6.279780000	-10.763720000		
T	6.279730000	-10.763610000		
T	6.279610000	-10.763320000		
T	6.279450000	-10.762920000		
T	6.279310000	-10.762530000		
T	6.279150000	-10.762070000		
T	6.279140000	-10.762020000		
T	6.278640000	-10.760570000		
T	6.278470000	-10.760100000		
T	6.278420000	-10.759940000		
T	6.278240000	-10.759460000		
T	6.278080000	-10.758970000		
T	6.278010000	-10.758770000		
T	6.277690000	-10.757840000		
T	6.277450000	-10.757160000		
T	6.277380000	-10.756980000		
T	6.277290000	-10.756700000		
T	6.277060000	-10.756080000		
T	6.276710000	-10.755050000		
T	6.276700000	-10.755020000		
T	6.276260000	-10.753720000		
T	6.276250000	-10.753690000		
T	6.276160000	-10.753450000		
T	6.276140000	-10.753390000		
T	6.275750000	-10.752230000		
T	6.275170000	-10.750520000		
T	6.275160000	-10.750500000		
T	6.275060000	-10.750230000		
T	6.274920000	-10.749800000		
T	6.274450000	-10.748450000		
T	6.274430000	-10.748390000		
T	6.274120000	-10.747520000		
T	6.274050000	-10.747300000		
T	6.273800000	-10.746570000		
T	6.273650000	-10.746170000		
T	6.273480000	-10.745640000		
T	6.273010000	-10.744320000		
T	6.272740000	-10.743530000		
T	6.272710000	-10.743450000		
T	6.272420000	-10.742610000		
T	6.272060000	-10.741570000		
T	6.271820000	-10.740880000		
T	6.271740000	-10.740650000		
T	6.271560000	-10.740120000		
T	6.271420000	-10.739690000		
T	6.271400000	-10.739620000		
T	6.271260000	-10.739240000		
T	6.270680000	-10.737560000		
T	6.270530000	-10.737150000		
T	6.270380000	-10.736710000		
T	6.270370000	-10.736670000		
T	6.269960000	-10.735510000		
T	6.269890000	-10.735290000		
T	6.269520000	-10.734230000		
T	6.269410000	-10.733860000		
T	6.269360000	-10.733720000		
T	6.269330000	-10.733590000		
T	6.269270000	-10.733320000		
T	6.269220000	-10.733070000		
T	6.269200000	-10.732810000		
T	6.269190000	-10.732600000		
T	6.269150000	-10.731230000		
T	6.269150000	-10.731100000		
T	6.269120000	-10.730020000		
T	6.269100000	-10.729020000		
