Entity;Date (end only);Year (end only);Records;Organization type (as number);Organization type;Method (as number);Method;Data sensitivity (as number);Data sensitivity;Source 1;Source 2;Source 3;Source 4;Source 5;Source 6
VTech;2015-11-24;2015;5000000;2;goods & services;1;hacked;5;full bank account details;https://www.nytimes.com/2015/12/01/business/security-breach-at-toy-maker-vtech-includes-data-on-children.html;;;;;
Weebly;2016-02-01;2016;43430316;2;goods & services;1;hacked;4;email passwords, medical records;http://www.ibtimes.co.uk/weebly-confirms-hack-affecting-over-40-million-users-foursquare-accounts-also-exposed-1587546;https://techcrunch.com/2016/10/20/weebly-hacked-43-million-credentials-stolen/;;;;
Taobao;2016-02-05;2016;20000000;5;technology;1;hacked;1;email addresses, online information;https://nakedsecurity.sophos.com/2016/02/05/data-breach-in-china-100-million-records-used-to-hack-20-million-taobao-users/;;;;;
Philippines Commission on Elections;2016-04-06;2016;55000000;4;government;1;hacked;5;full bank account details;https://blog.trendmicro.com/trendlabs-security-intelligence/55m-registered-voters-risk-philippine-commission-elections-hacked/;http://www.telecomasia.net/content/massive-data-breach-exposes-all-philippines-voters;;;;
Friend Finder Networks;2016-11-13;2016;412214295;6;social network;6;poor security;1;email addresses, online information;https://www.theverge.com/2016/11/13/13615750/412-million-adultfriendfinder-accounts-exposed-breach;https://www.zdnet.com/article/adultfriendfinder-network-hack-exposes-secrets-of-412-million-users/;;;;
Taringa!;2017-09-04;2017;28722877;6;social network;1;hacked;1;email addresses, online information;https://thehackernews.com/2017/09/taringa-data-breach-hacking.html;;;;;
Equifax;2017-09-07;2017;143000000;3;finances;6;poor security;5;full bank account details;https://www.cnet.com/news/equifax-data-leak-hits-nearly-half-of-the-us-population/;https://www.usatoday.com/story/money/2017/09/14/equifax-identity-theft-hackers-apache-struts//;;;;
Uber;2017-11-21;2017;57000000;10;infrastructure;1;hacked;1;email addresses, online information;https://www.uber.com/newsroom/2016-data-incident;;;;;
Under Armour;2018-02-20;2018;150000000;2;goods & services;1;hacked;1;email addresses, online information;https://www.bbc.com/news/technology-43592470;;;;;
Ticketfly (subsidiary of Eventbrite);2018-05-31;2018;26151608;2;goods & services;1;hacked;2;Social Security numbers, personal details;https://www.vice.com/en_us/article/mbk3nx/ticketfly-website-database-hacked-data-breach;https://www.vice.com/en_us/article/j5kd4b/ticketfly-hack-breach-26-million-users-emails-home-addresses;;;;
Facebook;2018-09-28;2018;50000000;6;social network;6;poor security;2;Social Security numbers, personal details;https://techcrunch.com/2018/09/28/everything-you-need-to-know-about-facebooks-data-breach-affecting-50m-users/;https://www.wired.com/story/facebook-security-breach-50-million-accounts/;https://www.vox.com/2018/9/28/17914598/facebook-new-hack-data-breach-50-million;https://www.cnbc.com/video/2018/09/28/zuckerberg-says-facebook-working-with-fbi-to-investigate-security-breach.html;https://www.nytimes.com/2018/09/28/technology/facebook-hack-data-breach.html;https://www.theguardian.com/technology/2018/sep/28/facebook-50-million-user-accounts-security-berach
Cathay Pacific Airways;2018-10-24;2018;9400000;10;infrastructure;1;hacked;2;Social Security numbers, personal details;https://www.straitstimes.com/asia/east-asia/cathay-pacific-flags-data-breach-affecting-94-million-passengers;;;;;
United States Postal Service;2018-11-18;2018;60000000;4;government;6;poor security;2;Social Security numbers, personal details;https://krebsonsecurity.com/2018/11/u-s-secret-service-warns-id-thieves-are-abusing-uspss-mail-scanning-service/;https://krebsonsecurity.com/2018/11/usps-site-exposed-data-on-60-million-users/;;;;
Marriott International;2018-11-30;2018;500000000;2;goods & services;1;hacked;3;credit card information;https://www.nytimes.com/2018/11/30/business/marriott-data-breach.html?module=inline;https://info.starwoodhotels.com/;;;;
