Name ,Description,Genre,IG account,Username,Followers,Posts taken (last),Auto censored photos ,Percentage,from il 10/11 to 20/11,,,,,,,,,,,,,,,,,
AVN,Welcome to a new perspective in the business of sex.,,https://www.instagram.com/avn_magazine/,avn_magazine,"117,000.00",185.00,0.00,0.00%,,,,,,,,,,,,,,,,,,
Playboy,Our mission is to create a culture where all people can pursue pleasure.,Erotic,https://www.instagram.com/playboy/?hl=fr-ca,playboy,"8,100,000.00",200.00,54.00,27.00%,,,,,,,,,,,,,,,,,,
Playboy Italy,/,Erotic,https://www.instagram.com/playboyita/,playboyita,"156,000.00",200.00,1.00,0.50%,,,,,,,,,,,,,,,,,,
Playboy Germany,/,Erotic,https://www.instagram.com/playboygermany/,playboygermany,"245,000.00",200.00,19.00,9.50%,,,,,,,,,,,,,,,,,,
Playboy Colombia,/,Erotic,https://www.instagram.com/playboy_col/,playboy_col,"142,000.00",200.00,25.00,12.50%,,,,,,,,,,,,,,,,,,
Playboy Portugal,/,Erotic,https://www.instagram.com/playboyportugalmagazine/,playboyportugalmagazine,"399,000.00",200.00,22.00,11.00%,,,,,,,,,,,,,,,,,,
Playboy México,/,Erotic,https://www.instagram.com/playboymx/,playboymx,"977,000.00",200.00,23.00,11.50%,,,,,,,,,,,,,,,,,,
Another Filthy Magazine,/,Erotic,https://www.instagram.com/anotherfilthymagazine/,anotherfilthymagazine,"316,000.00",200.00,15.00,7.50%,,,,,,,,,,,,,,,,,,
Penthouse,"Penthouse Magazine, has been provoking and stimulating readers around the globe since 1965.",Erotic,https://www.instagram.com/penthouse/?hl=it,penthouse,"495,000.00",200.00,23.00,11.50%,,,,,,,,,,,,,,,,,,
Penthouse AU,/,Erotic,https://www.instagram.com/penthouse_au/,penthouse_au,"26,800.00",200.00,17.00,8.50%,,,,,,,,,,,,,,,,,,
Fuse,"Fuse was founded as a platform to showcase and promote the best photographers, models, and designers, whose work celebrates the beauty of the female form by blending the artistic and the erotic.",,https://www.instagram.com/fuse_magazine/,fuse_magazine,"356,000.00",200.00,0.00,0.00%,,,,,,,,,,,,,,,,,,
Playboy Switzerland,/,Erotic,https://www.instagram.com/playboyswitzerland/,playboyswitzerland,"49,300.00",200.00,31.00,15.50%,,,,,,,,,,,,,,,,,,
Playboy Sweden,/,Erotic,https://www.instagram.com/playboymagsweden/,playboymagsweden,"60,800.00",200.00,5.00,2.50%,,,,,,,,,,,,,,,,,,
Lui ,The magazine of men who think of them. (Le magazine des hommes qui pensent à elles.),Erotic,https://www.instagram.com/luimagazine/?hl=it,luimagazine,"100,000.00",200.00,59.00,29.50%,,,,,,,,,,,,,,,,,,
Nakd,The Art of the Female Body,Erotic,https://www.instagram.com/nakd.magazine/?hl=it,nakd.magazine,"162,000.00",155.00,34.00,21.90%,,,,,,,,,,,,,,,,,,
Normal,"High-end french print quarterly, devoted to artistic photography, nude & fashion oriented.",Erotic,https://www.instagram.com/normalmagazine/,normalmagazine,"90,500.00",200.00,134.00,67.00%,,,,,,,,,,,,,,,,,,
Lions,Lions art magazine is an online and print magazine focussing on artistic photography of beautiful women.,Erotic,https://www.instagram.com/lionsmag/,lionsmag,"58,400.00",100.00,15.00,7.50%,,,,,,,,,,,,,,,,,,
S,"S Magazine publishes biannually and has been devoted to curating independent content that pushes boundaries and challenges the values of FASHION, LOVE and CULTURE.",Fashion,https://www.instagram.com/smagazine/,smagazine,"31,500.00",200.00,47.00,23.50%,,,,,,,,,,,,,,,,,,
C-Heads,Youth culture. Made by women.,Photography,https://www.instagram.com/cheadsmagazine/,cheadsmagazine,"335,000.00",200.00,19.00,9.50%,,,,,,,,,,,,,,,,,,
Self Control,self-control is the definitive guide to an intimate yet unsafe way of exploring the hidden processes that move the hunger.,Erotic,https://www.instagram.com/selfcontrolmag/,selfcontrolmag,"104,000.00",200.00,18.00,9.00%,,,,,,,,,,,,,,,,,,
Mirage,Mirage Magazine was founded independently in 2009 as a 400 page fashion and culture magazine inspired by the photographic aesthetic and hedonistic culture of the 1960s and 1970s.,,https://www.instagram.com/miragemagazine/,miragemagazine,"32,900.00",,,,Instagram account removed,,,,,,,,,,,,,,,,,
Debonair,Debonair is a print and online publication dedicated to men’s luxury lifestyle.,,https://www.instagram.com/debonairmagazine/,debonairmagazine,,,,,It's not an erotic magazine anymore,,,,,,,,,,,,,,,,,
Pinups,Pinups is a queer zine—each issue a pictorial of a nude male subject.,Independent,https://www.instagram.com/pinupsmagazine/,pinupsmagazine,"2,081.00",200.00,17.00,8.50%,,,,,,,,,,,,,,,,,,
Erotic Review,"We aim to take a lively, intelligent approach to erotica and sexuality, always appealing to the primary sexual organ – the brain.",,https://www.instagram.com/eroticreview/,eroticreview,440.00,195.00,0.00,0.00%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
