Artwork;Artist;Contemporary Art;Artwork date;Movement;Censorship year;Social;Kind of censorship;Source;Publication date;;;;;;;;;;;;;;;;;;;;
Venus of Willendorf;Unknown;No;23.000-19.000 a. C.;Preistoric Art;2018;Facebook;Removed post;https://itsartlaw.org/2019/07/19/from-the-origin-of-the-world-to-sendnudes-social-media-and-censorship-of-art/;19 jul 2019;;;;;;;;;;;;;;;;;;;;
Fuck Painting #1;Betty Tompkins;Yes;1969;Photorealism;2019;Instagram;Suspended account;https://itsartlaw.org/2019/07/19/from-the-origin-of-the-world-to-sendnudes-social-media-and-censorship-of-art/;19 jul 2019;;;;;;;;;;;;;;;;;;;;
Unknown;Kit King;Yes;;;Unknown;Facebook, Instagram;Removed post;https://itsartlaw.org/2019/07/19/from-the-origin-of-the-world-to-sendnudes-social-media-and-censorship-of-art/;19 jul 2019;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;https://www.artsy.net/article/artsy-editorial-art-censorship-age-social-media;13 jul 2017;;;;;;;;;;;;;;;;;;;;
The Little Mermaid;Edvard Eriksen;No;1913;Classicism;2016;Facebook;Removed post;https://www.artsy.net/article/artsy-editorial-art-censorship-age-social-media;13 jul 2017;;;;;;;;;;;;;;;;;;;;
Women as Object Project;Kate Durbin;Yes;2011-2013;;2013;Facebook;Removed post;https://hyperallergic.com/454589/facebook-censors-montreal-museum-of-fine-arts-ad-featuring-nude-picasso-painting/;7 aug 2018;;;;;;;;;;;;;;;;;;;;
The Little Mermaid;Edvard Eriksen;No;1913;Classicism;2016;Facebook;Removed post;https://hyperallergic.com/454589/facebook-censors-montreal-museum-of-fine-arts-ad-featuring-nude-picasso-painting/;7 aug 2018;;;;;;;;;;;;;;;;;;;;
Women at Their Toilette;Pablo Picasso;No;1956;;2018;Facebook;Blocked Advertising;https://hyperallergic.com/454589/facebook-censors-montreal-museum-of-fine-arts-ad-featuring-nude-picasso-painting/;7 aug 2018;;;;;;;;;;;;;;;;;;;;
Breast Cancer Awareness Body Painting Project;Michael Colanero;Yes;Ongoing;Body painting (?);2011;Facebook;Removed post;http://www.narrabase.net/joy_garnett2018.html;1 nov 2018;;;;;;;;;;;;;;;;;;;;
The Origin of the World;Gustave Courbet;No;1886;Realism;2011;Facebook;Deleted account;http://www.narrabase.net/joy_garnett2018.html;1 nov 2018;;;;;;;;;;;;;;;;;;;;
