Artwork,Artist,Contemporary Art,Artwork date,Censorship year,Social,Kind of censorship,Link,Date of publication,Typology,Google Rank,,,,,,,,,,,,,,,,,,,,,,
Breast Cancer Awareness Body Painting Project,Michael Colanero,Yes,Unknown,2011,Facebook,Removed post,http://www.narrabase.net/joy_garnett2018.html,1 Nov 2018,Art Newspaper,7,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,http://www.narrabase.net/joy_garnett2018.html,1 Nov 2018,Art Newspaper,7,,,,,,,,,,,,,,,,,,,,,,
Venus of Willendorf,Unknown,No,23.000-19.000 a. C.,2018,Facebook,Removed post,http://www.narrabase.net/joy_garnett2018.html,1 Nov 2018,Art Newspaper,7,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,http://ackermansfineart.com/censorship-art-social-media/,20 may 2016,Fine Art Gallery,8,,,,,,,,,,,,,,,,,,,,,,
Ice Cream,Evelyne Axell,Yes,1964,2016,Facebook,Removed post,http://ackermansfineart.com/censorship-art-social-media/,20 may 2016,Fine Art Gallery,8,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,https://frieze.com/tags/censorship,8 aug 2018,Media Company,10,,,,,,,,,,,,,,,,,,,,,,
100 Muses - Caoimhe Lavelle Photography,Dragana Jurisic,Yes,2015,2018,Instagram,Suspended account,https://frieze.com/tags/censorship,15 may 2018,Media Company,10,,,,,,,,,,,,,,,,,,,,,,
Femmes à la toilette,Pablo Picasso,No,1956,2018,Facebook,Blocked Advertising,https://frieze.com/tags/censorship,8 aug 2018,Media Company,10,,"Page with articles tagged ""censorship"" on that website (I opened those with a social network mentioned in the title)",,,,,,,,,,,,,,,,,,,,
The Descent from the Cross,Peter Paul Rubens,No,1612-14,2018,Facebook,Blocked Advertising,https://frieze.com/tags/censorship,24 jul 2018,Media Company,10,,,,,,,,,,,,,,,,,,,,,,
Venus of Willendorf,Unknown,No,23.000-19.000 a. C.,2018,Facebook,Removed post,https://frieze.com/tags/censorship,8 aug 2018,Media Company,10,,,,,,,,,,,,,,,,,,,,,,
The napalm girl ,Nick Ut,Yes,1972,2016,Facebook,Removed post,https://alj.artrepreneur.com/facebook-censorship/,15 oct 2018,Art Newspaper,23,,,,,,,,,,,,,,,,,,,,,,
Nudity Related Artwork,Spencer Tunick,Yes,2003,2014,Facebook,Suspended account,https://whitehotmagazine.com/articles/s-social-media-censorship-blues/4104,Nov 2019,Art magazine,28,,,,,,,,,,,,,,,,,,,,,,
Several nude paintings,Reuben Negron,Yes,Unknown,2013,Facebook,Removed post,https://www.artistsagainstcensorship.com,Unknown,Artist platform,30,,,,,,,,,,,,,,,,,,,,,,
Charlotte ,Shona McAndrew,Yes,2016,2017,Instagram,Suspended account,https://www.artistsagainstcensorship.com,Unknown,Artist platform,30,,,,,,,,,,,,,,,,,,,,,,
"Wrestling, Hornby Island, British Columbia",Barbara Hammer,Yes,1972,Unknown,Instagram,Removed post,https://www.artistsagainstcensorship.com,Unknown,Artist platform,30,,,,,,,,,,,,,,,,,,,,,,
Unknown,Clarity Haynes,Yes,Unknown,Unknown,Facebook,Suspended account,https://www.artistsagainstcensorship.com,Unknown,Artist platform,30,,,,,,,,,,,,,,,,,,,,,,
Unknown,Clotilde Petrosino,Yes,Unknown,Unknown,Instagram,Suspended account,https://www.artistsagainstcensorship.com,Unknown,Artist platform,30,,,,,,,,,,,,,,,,,,,,,,
Nudity Related Artwork,Daniel Maidman,Yes,Unknown,Unknown,Instagram,Removed post,https://www.artistsagainstcensorship.com,Unknown,Artist platform,30,,,,,,,,,,,,,,,,,,,,,,
Bore,Jacqueline King ,Yes,2015,Unknown,Instagram,Deleted account,https://www.artistsagainstcensorship.com,Unknown,Artist platform,30,,,,,,,,,,,,,,,,,,,,,,
Unknown,Kit King,Yes,Unknown,Unknown,Instagram,Removed post ,https://www.artistsagainstcensorship.com,Unknown,Artist platform,30,,,,,,,,,,,,,,,,,,,,,,
Unknown,Mochi Agogo,Yes,Unknown,Unknown,Instagram,Deleted account,https://www.artistsagainstcensorship.com,Unknown,Artist platform,30,,,,,,,,,,,,,,,,,,,,,,
Unknown,Savannah spirit,Yes,Unknown,Unknown,"Facebook, Instagram","Suspended account, Removed account",https://www.artistsagainstcensorship.com,Unknown,Artist platform,30,,,,,,,,,,,,,,,,,,,,,,
Nudity Related Artwork,Svetlana Sokolovskaya,Yes,Unknown,Unknown,"Facebook, Instagram","Removed post, suspended account",https://www.artistsagainstcensorship.com,Unknown,Artist platform,30,,,Non si capisce su quale piattaforma è stato fatto cosa,,,,,,,,,,,,,,,,,,,
Theljilja project ,The Ljilja,Yes,Unknown,Unknown,Instagram,Removed post ,https://www.artistsagainstcensorship.com,Unknown,Artist platform,30,,,,,,,,,,,,,,,,,,,,,,
"Are they really pro-life? Religion, Suicide and Hypocrisy",Abby Zeciroski,Yes,2018,2016,Facebook,Blocked Advertising,http://www.windycitymediagroup.com/lgbt/ART-Local-lesbian-artist-on-being-banned-from-social-media/66407.html,29 jun 2016,LGBTQ journal,46,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/,15 dec 2018,Art Magazine,50,,,,,,,,,,,,,,,,,,,,,,
Hellmouth (the hours of Catherine of Cleves),Catherine of Cleves,no,1440,2015,Facebook,Suspended account,https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/,15 dec 2018,Art Magazine,50,,,,,,,,,,,,,,,,,,,,,,
Amor Vincit Omnia,Caravaggio,No,1602-1603,2016,Facebook,Suspended account,https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/,15 dec 2018,Art Magazine,50,,,,,,,,,,,,,,,,,,,,,,
Neptune fountain,Giambologna,No ,1564-1566,2016,Facebook,Removed post,https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/,15 dec 2018,Art Magazine,50,,,,,,,,,,,,,,,,,,,,,,
The Little Mermaid,Edvard Eriksen,No,1913,2016,Facebook,Removed post,https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/,15 dec 2018,Art Magazine,50,,,,,,,,,,,,,,,,,,,,,,
The napalm girl ,Nick Ut,Yes,1972,2016,Facebook,Removed post,https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/,15 dec 2018,Art Magazine,50,,,,,,,,,,,,,,,,,,,,,,
Self-Portrait with Sculpture,John De Andrea,Yes,1980,2018,Facebook,Suspended account,https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/,15 dec 2018,Art Magazine,50,,,,,,,,,,,,,,,,,,,,,,
Venus of Willendorf,Unknown,No,23.000-19.000 a. C.,2018,Facebook,Removed post,https://glasstire.com/2018/12/15/facebook-and-the-art-of-censorship/,15 dec 2018,Art Magazine,50,,,,,,,,,,,,,,,,,,,,,,
100 Muses - Caoimhe Lavelle Photography,Dragana Jurisic,Yes,2015,2018,"Facebook, Instagram","Removed post, Suspended account",https://freemuse.org/wp-content/uploads/2019/03/saf-2019-online.pdf,20 Mar 2019,Indipendent organization,58,,,,,,,,,,,,,,,,,,,,,,
Femmes à la toilette,Pablo Picasso,No,1956,2018,Facebook,Blocked Advertising,https://freemuse.org/wp-content/uploads/2019/03/saf-2019-online.pdf,20 Mar 2019,Indipendent organization,58,,,,,,,,,,,,,,,,,,,,,,
The Descent from the Cross,Peter Paul Rubens,No,1612-14,2018,Facebook,Blocked Advertising,https://freemuse.org/wp-content/uploads/2019/03/saf-2019-online.pdf,20 Mar 2019,Indipendent organization,58,,,,,,,,,,,,,,,,,,,,,,
Women as object,Kate Durbin,Yes,2011-2013,2013,Facebook,Removed post,http://romanfineart.com/art-news/facebook-censors-art-historian-posting-nude-art-boots-platform/,28 Nov 2018,Media art company ,61,,,,,,,,,,,,,,,,,,,,,,
The Little Mermaid,Edvard Eriksen,No,1913,2016,Facebook,Removed post,http://romanfineart.com/art-news/facebook-censors-art-historian-posting-nude-art-boots-platform/,28 Nov 2018,Media art company ,61,,,,,,,,,,,,,,,,,,,,,,
Femmes à la toilette,Pablo Picasso,No,1956,2018,Facebook,Blocked Advertising,http://romanfineart.com/art-news/facebook-censors-art-historian-posting-nude-art-boots-platform/,28 Nov 2018,Media art company ,61,,,,,,,,,,,,,,,,,,,,,,
Self-Portrait with Sculpture,John De Andrea,Yes,1980,2018,Facebook,Suspended account,http://romanfineart.com/art-news/facebook-censors-art-historian-posting-nude-art-boots-platform/,28 Nov 2018,Media art company ,61,,,,,,,,,,,,,,,,,,,,,,
"Study of the Right Hand of Erasmus of Rotterdam,",Hans Holbein the Younger,No,1523,Unknown,Facebook,Suspended account,https://www.theguardian.com/artanddesign/jonathanjonesblog/2016/aug/31/facebook-banned-holbein-hand-hans-art-erotic,31 aug 2018,Newspaper,63,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,https://www.theguardian.com/artanddesign/jonathanjonesblog/2016/aug/31/facebook-banned-holbein-hand-hans-art-erotic,31 aug 2018,Newspaper,63,,,,,,,,,,,,,,,,,,,,,,
