Questo è l'elenco dei link con le parole chiave degli articoli;news;https://www.wired.com/story/russia-ira-propaganda-senate-report/;Facebook;1,79;Research agency;0,36;Questo il dataset utilizzato per la viz;Clusters;Keywords ONE;Recurrency;Cluster 01;Cluster 02;Keywords TWO;Recurrency;Cluster 01;Cluster 02;;;;;;;
;Blog;https://medium.com/@erin_gallagher/the-bureau-of-memetic-warfare-september-2015-6243d58dc07d;Design;2,85;Black sun;0,81;;;Military;2;Terrorism;;Psychological warfare;1;Terrorism;US 2016 Election;;;;;;;
;news;https://www.reuters.com/article/us-usa-trump-instagram/coordinated-anti-trump-campaign-emerges-on-instagram-study-idUSKCN1SQ1S9;Instagram;2,37;Anti Trump;0,99;;;Postmodern;1;Media studies;;Anti Trump;1;US 2016 Election;;;;;;;;
;News;https://7dnews.com/article/the-era-of-memetic-warfare;Trump;2,02;Fake news;0,76;;;Nato;2;Terrorism;Organization;Psychological operations;1;Terrorism;US 2016 Election;;;;;;;
;news;https://www.newsweek.com/alt-right-using-leaked-nato-psychological-wafare-tactics-subvert-democracy-and-691457;Tactics;1,61;Psychological operations;0,92;;;Network;1;Media studies;;Quick thoughts;1;Media studies;;;;;;;;
;news;https://www.nytimes.com/interactive/2018/11/04/technology/jobs-not-mobs.html;Trump;2,55;Pro Trump;0,77;;;Political;1;US 2016 Election;;Information space ;1;Media studies;;;;;;;;
;Blog;https://www.goldschadt.dk/memetic-warfare/;Idea;3,38;Psychological warfare;2,56;;;Reality;1;Media studies;;Memetic engineering;1;Media studies;;;;;;;;
;PDF;https://apps.dtic.mil/dtic/tr/fulltext/u2/a507172.pdf;Communication;0,6;Information Operation;0,32;;;Russia;3;US 2016 Election;;Influence campaign;1;US 2016 Election;;;;;;;;
;Blog ;https://patribotics.blog/tag/memetic-warfare/;Russia;2,57;Donald Trump;0,61;;;Stories;1;Media studies;;Social media;7;Media studies;;;;;;;;
;blog;https://cgrozev.wordpress.com/2014/11/07/memetic-warfare-a-civilizational-threat/;Information;1,39;Information space ;0,66;;;Tactics;1;Terrorism;US 2016 Election;Story war ;1;Terrorism;US 2016 Election;;;;;;;
;PDF;https://www.academia.edu/32325513/Its_Time_to_Embrace_Memetic_Warfare.pdf;Nato;1,52;Member nation;1,21;;;Tatishev;1;People;;Terrorist activity;1;Terrorism;;;;;;;;
;PDF;http://univagora.ro/jour/index.php/ijccc/article/view/1076;Feedback;1,35;Memetic engineering;1,08;;;Trump;5;US 2016 Election;People;Troll culture;1;US 2016 Election;;;;;;;;
;PDF;https://apps.dtic.mil/dtic/tr/fulltext/u2/1052398.pdf;Isis;1,54;Influence campaign;0,33;;;;;;;;;;;;;;;;;
;Blog;https://blog.uvm.edu/aivakhiv/2019/09/16/climate-action-week-what-to-watch-for/;Climate ;3,66;Climate crisis;0,79;;;;;;;;;;;;;;;;;
;news;https://weaponizednarrative.asu.edu/library/meme-game-fleek-yeah-nah-russia%E2%80%99s-2016-memetic-warfare;Russia;3,88;Russia 2016;2,91;;;;;;;;;;;;;;;;;
;blog;https://systematicpoliticalscience.com/ponerology.html;God;1,38;Scriptural text;0,6;;;;;;;;;;;;;;;;;
;Blog;https://medium.com/@erin_gallagher/alt-right-culture-jamming-and-memetic-warfare-93b646263f7d;4Chan;5,22;Social media;1,61;;;;;;;;;;;;;;;;;
;news;https://inevitablehuman.com/a-meme-you-wont-laugh-at-how-culture-suffers-due-to-our-addiction-to-virality/;Idea;3,57;Social media;1,67;;;;;;;;;;;;;;;;;
;PDF;http://lfpr.lt/wp-content/uploads/2017/04/LFPR-2016-35_kalpokas.pdf;Information;1,31;Social media;1,45;;;;;;;;;;;;;;;;;
;News;https://www.vice.com/en_us/article/xyvwdk/meme-warfare;Military;1,8;Social media;0,55;;;;;;;;;;;;;;;;;
;news;https://www.motherjones.com/politics/2019/04/right-wing-groups-are-training-young-conservatives-to-win-the-next-meme-war/;Trump;1,21;Social media ;0,46;;;;;;;;;;;;;;;;;
;News;https://warisboring.com/america-isnt-ready-for-meme-warfare/;Military;1,33;Social media ;0,48;;;;;;;;;;;;;;;;;
;Blog;https://misinfocon.com/meme-wars-f03dc6db471d;Russia;1,9;Social media ;1,07;;;;;;;;;;;;;;;;;
;blog;https://www.maxmarmer.com/blog/memetic-warfare/;Reality;1,16;Startup science ;5,77;;;;;;;;;;;;;;;;;
;Blog;https://benjamingjw.com/2019/04/13/the-red-pill-of-narrative-warfare/;Stories;6,66;Story war ;1,24;;;;;;;;;;;;;;;;;
;blog ;http://saltheagorist.blogspot.com/2019/03/the-art-of-memetic-warfare.html;Argument;1,8;Terrorist activity;0,4;;;;;;;;;;;;;;;;;
;PDF;https://link.springer.com/chapter/10.1007/978-3-319-94069-4_13;Trump;9,52;Troll culture;3,17;;;;;;;;;;;;;;;;;
;PDF;https://www.researchgate.net/publication/328366283_President_Troll_Trump_4Chan_and_Memetic_Warfare;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
