Post;Views post;Users;Comment;Likes;Value
7;83500; @.giulia.ilenia.;Raga ma se lo segnaliamolo tutti riusciamo a espellerlo;508;0
7;83500; @orion_stat;Meglio mostrare gli orsi 🐻 che loro hanno una coscienza e una certa intelligenza... e non fanno nulla di male a ns Paese.;455;0
7;83500; @ertraffikspingeichili;nessuno Ma proprio nessuno Tiktok Italia 🤡;263;0
7;83500; @rick2002___;Come mai la canzone in inglese? Non vogliamo roba di prima qualità italiana?;199;0
7;83500; @dolfhy;Un politico che usa Tik Tok 😰 siamo al TOP;177;0
7;83500; @julianstoneangel;un giorno racconterò ai miei figli di aver vissuto con sto soggetto al parlamento;100;0
7;83500; @whosthedoctor;E anche oggi si lavora domani;54;0
7;83500; @naqashali74;Ma perché tik tok non lo banana;106;0
7;83500; @mariateresacerron;Non sono bianchi... senso del video é che sono scuri e devono tornare da dove sono venuti? Perché da te mi aspetto tutto il peggio...;40;0
7;83500; @davide_troia_95;Dovresti chiedere scusa a Ilaria Cucchi.;56;0
7;83500; @user76587126;SEGNALIAMOLO TUTTI COSI LO TOGLIAMO DA TIK TOk;63;0
7;83500; @crispydostoevski;Da capitano a Cringiamo il passo è breve;53;0
7;83500; @littlebodybigass;chi ti ha insegnato l'inglese Matteo Renzi?;46;0
7;83500; @m.ribatti;Benvenuti su TikTok ad una nuova puntata di Matteo e l'orso.;36;0
7;83500; @legoanimati;#nopolitica su tiktok! Guardate il mio video😡😡😡;39;0
7;83500; @deviantviking;No al razzismo!;50;0
7;83500; @yoongipassivo;watch me segnalarti;36;0
7;83500; @marco_spatt;*nessuno *Ma proprio nessuno Salvini;29;0
7;83500; @tripland;Ognuno può pensare come gli pare se salvino ha delle idee chi glie le appoggia ok non siete mica costretti a votarlo;23;0
7;83500; @leojyp;ma che stai a fare qua?;43;0
7;83500; @nchesenzo;Strano che non ha scritto HAPPY BIRTHDAY;9;0
7;83500; @albertovagni;non strumentalizziamo i bambini e poi stai qui a cercare di prenderti i voti loro e dei ragazzi poco più grandi. Pensaci davanti al prossimo panino;13;0
7;83500; @alicesonzogni;Persino gli orsi scappano. Roba da matti.;18;0
7;83500; @salvinimuori;"la prossima sarà ""buongiornissimo kaffeeeeee""? sei un vecchio  il tuo posto è Facebook";17;0
7;83500; @sofiiiirocchi;daiiii bastaaa voi vecchi su facebook soprattutto tu;9;0
7;83500; @giovanni_dfdub;Okay boomer  adesso però torna su Facebook 🤣🤣🤣;5;0
7;83500; @emanuelelepore2;io l'ho segnalato...magari facendolo tutti ce ne liberiamo;5;0
7;83500; @edgycuck;un politico non dovrebbe stare su un'app per bambini;11;0
7;83500; @valerio_abb;#NoPoliticaSuTikTok Duettate o Usate l'audio del mio ultimo video 💪💪💪💪💪;7;0
7;83500; @matteocappereo5;segnalato per incitamento all'odio;3;0
7;83500; @nicoletta.bassani;Grazie altrettanto Capitano 💚💚💚;15;0
7;83500; @silviadonadei;Bisogna ammettere che TikTok non fa per te!! 😅😅😅;3;0
7;83500; @ilcappee;Ma lasciaci almeno tiktok 😩;5;0
7;83500; @silviaceci;Preferisco le sardine!;2;0
7;83500; @lyledmuc;Ma dopo la gaffe in cui dici che secondo te gli ospedali chiudono il weekend non sei andato a nasconderti??;3;0
7;83500; @roccorocchetto;Figlio orso PAPÀ C'È SALVINI Gli orsi fuggono.. Fine triste storia 😂😂😂😂✌Ora posso anche morire 😂😂😂🤣🤦‍♂🤙;3;0
7;83500; @matteo.petecca;"mi raccomando da domani inizia a pubblicare video con un bel ""buongiornissimo caffè?!""";2;0
7;83500; @omeimait;non è possibile mo pure tik tok eeebbasta... pensavamo almeno qui di stare tranquilli;7;0
7;83500; @moralizzatore;'' salvini '' l'orso. ✌;9;0
7;83500; @looneytoonsss;REGA SEGNALIAMOLO TUTTI COSI' SE NE VA;2;0
7;83500; @lyledmuc;Sceeeemo Guarda quanti semo A ditte che si sceeeemo;3;0
7;83500; @ggiorgiasartorii;se fossi in lui ancora starei a sotterrarmi per il modo in cui Conte lo ha asfaltato ahahah idolo;7;0
7;83500; @marcograndi8;Ti ho segnalato ❤;3;0
7;83500; @fereslajmi;Ma cosa c'entra con te? [facewithrollingeyes];3;0
7;83500; @emdasereno3tk;Prima gli orsi!!!;7;0
7;83500; @badboy_0fficial;Anche a lei;12;0
7;83500; @paolodemarcus;Ragazzi io sono nuovo come si fa a segnalare qualcuno?;4;0
7;83500; @user256790h;va a fare il clown da un’altra parte;2;0
7;83500; @erica8814;diritto di voto ad honorem a tutti gli utenti di tiktok! Vi amoo ragaaa torna su Facebook a condividere foto di Kanniolini (italiani) e kaffeucci;2;0
7;83500; @rosaugnutuu;e questo lo chiamate “politico”?;8;0
8;280100; @julianstoneangel;l'importante è credere che sei simpatico come i lavori col trapano la domenica mattina;922;0
8;280100; @_togi_04;di sicuro non olive nere;756;0
8;280100; @mindcollision;stai scappando dalle tue responsabilità?;535;0
8;280100; @depr.ssed;allenati a correre  che poi dovrai correre fuori dall'italia;541;0
8;280100; @palealetik;L’importante è non lavorare MAI !;352;0
8;280100; @alex92loveanimals;ma chi è che mette i mi piace??? vorrei tanto saperlo..;221;0
8;280100; @nchesenzo;Carino cercare di essere simpatici per raccattare consensi di bambini HAHAH;120;0
8;280100; @cicciocirigliano;Sei simpatico come un riccio di mare sotto un’ascella in una giornata afosa;157;0
8;280100; @adoruss;Salvini ti ruba le olive ascolane e scappa dalle guardie;97;0
8;280100; @p4r4n0id;Stai correndo via dai debiti dopo i 49 mil rubati eh?;411;0
8;280100; @peppa.stinks;Solo in Italia ci sono i politici con tik tok. Stamm accis;270;0
8;280100; @j.a07;Corri cazzaro corri.;87;0
8;280100; @aomachecazzovoi;strozzatece;64;0
8;280100; @zairapaterno;Il tuo futuro è questo vendere olive e scappare dei problemi gg;110;0
8;280100; @carletto80;Grande💪💪meglio tu sicuramente che tutti sti venduti!!!gia sei stato mio ministro e spero di averti di nuovo;114;1
8;280100; @francioposa;In che senso;184;0
8;280100; @danbeedj;Stai correndo in senato Mr assenteista?;75;0
8;280100; @alessandro_neve;#Salvinivaivia;87;0
8;280100; @ggiorgiasartorii;magaru cadi;51;0
8;280100; @sara_esposito82;Cioè io voglio saper perché 🤦‍♀;47;0
8;280100; @ghostdotexe_real;Grande Matteo mi hai cancellato il commento ma ribadisco  mi ricordo di quando cantavi contro i napoletani. E di nuovo cordiali kitemmuorti;20;0
8;280100; @chiamatemikim;Quando Gigino ti dice che ha casa libera;25;0
8;280100; @ruthlessbeach;io guardo i tik tok di Salvini solo per i commenti hahaha vi amooo;32;0
8;280100; @softjio;VOI PERSONE CHE COMMENTATE RENDETE LA MIA GIORNATA STUPENDA CONTINUATE COSÌ 💖;35;0
8;280100; @alyolaks;Ma i leghisti che hanno scaricato TikTok solo per lui? AHAHAHAHAHAHAHAHA attenti che l’app è cinese eh;25;0
8;280100; @gianvo99;sta scappando dai suoi doveri istituzionali;21;0
8;280100; @lacocca78;Il ladro che scappa con la divisa della polizia facendo finta di fare jogging dopo 2 kg di fritto non si era ancora visto😣🙈;14;0
8;280100; @omeimait;È su tik tok per un motivo lavaggio del cervello. La maggior parte degli users qui si aggira intorno ai 11-17 anni ed è più facile condizionarli…;36;0
8;280100; @patri973;Ahahah 😆 eccolo che corre verso il nulla;8;0
8;280100; @elisaj.silanos;ti ricordo che fare l'influencer non è un lavoro.ripeti con me NON È UN LAVORO.;19;0
8;280100; @laratedesco26;Ma poi prima mangia le olive all’ascolana.. e poi abusivamente con la divisa della Polizia di Stato fa finta di allenarsi;11;0
8;280100; @tonyferry83;Mattè ti è finita la pacchia! Attenzione alle % 😂😂😂? Vanno giù? Ahahah ci sono tante  troppe sardine!;2;0
8;280100; @cristinadanieli;Lo sai dove devi corre ve?;4;0
8;280100; @umairahmed719;Pure qua dobbiamo vederti😩;9;0
8;280100; @alotirabaci;Lavorare no eh?;10;0
8;280100; @_goldenvenus;scappare dalle responsabilità check ;12;0
8;280100; @sofybake;No vabbè... Belli i politici che non fanno il loro lavoro e usano tik tok.. Ragaaa siamo spacciatiiii;5;0
8;280100; @marcello_what_is_it;Dopo questo video mi sono venuti in mente tanti pensieri  nessuno positivo;17;0
8;280100; @marco_spatt;Ma poi spiegatemi il perchè della maglietta della Polizia;11;0
8;280100; @raioladaniele;Perché ha la divisa della Polizia se non è poliziotto? Per caso è una manifestazione particolare e lei è un ministro? Non mi pare.;12;0
8;280100; @user251975834316411;Io non capisco più nulla se tutti i commenti che leggo non c'è n'è uno positivo chi cavolo gli mette i cuori che aumentare ogni minuto bhoooooooooooo;12;0
8;280100; @ndjddjdjjsjsjsjss;Ma questo è dappertutto tranne che al senato? Ahhahaha;11;0
8;280100; @cchiara.vallati;sei su tiktok fra non al circo giusto per ricordartelo;11;0
8;280100; @pieroaqui_10;solo lui ci mancava su tik tok 🤦🏻‍♂;14;0
8;280100; @cristianacalilli;Fuori la politica da TikTok;7;0
8;280100; @mxrtiibt;corri corri 🤡;11;0
8;280100; @k1m.bea; nel 2019 le auto voleranno;16;0
8;280100; @mattiamarangotto;la policy di Tik Tok è Niente politica eppure...;10;0
8;280100; @jazzzzm123;ladro 😡😡😡;6;0
8;280100; @user43233134;Grandeeee 😂😂😂😂💋💋💋💋 unico capitano ❤❤;19;1
