Post;Views post;Users;Comment;Likes;Value
2;144900; @elisabetta_boscaino;Qui su tiktok non avrai il tuo solito appoggio  qui non ci sono i vecchi per cui sei il kapitano1!1 qui ci sono giovani CON LE PALLE.;147;0
2;144900; @depr.ssed;ma chi scappa dalla guerra  sotto le bombe  secondo te la prima cosa a cui pensa sono i documenti? Manco tu li prenderesti se fossi in quelle situazio;111;0
2;144900; @iosonoriiick;Qualcuno segnali questo profilo;133;0
2;144900; @ammodellato;Forse riesci a prendere per i fondelli  quelli che come te hanno il cuore indurito. Qui siamo giovani con la speranza di fronte e con l'amore in petto;119;0
2;144900; @martietude;Il tuo arrivo qui rappresenta la pochezza che ti caratterizza da sempre  la bassezza al quale chi dovrebbe rappresentare il nostro paese é arrivato.;99;0
2;144900; @harleynell;Pure su tiktok NO. La maggior parte degli utenti sono BAMBINI/RAGAZZINI  lascia la tua BECERA politica fuori.;80;0
2;144900; @imfrenke;madooo ma sto vecchio pure qua sta;56;0
2;144900; @aomachecazzovoi;PORCODDUE SEGNALIAMO STO CLOWN;436;0
2;144900; @kisskiss4890;Disinstalla questa applicazione ti prego;60;0
2;144900; @whereiskekeskiwi;Non mi sembra l'app adatta per fare propaganda.;63;0
2;144900; @cosimoverardi;La politica italiana del 2019  signori e signore;57;0
2;144900; @annaku;CHIUDETE QUESTO PROFILOOOOOOOOOOOOOOOO;31;0
2;144900; @pietropuggioni;Non si può fare politica su tik tok  non credo sia un tema adeguato…;51;0
2;144900; @cxlesliex;Ti vedo ingrassato mattè;44;0
2;144900; @ggiuls.g;madonna ma io respiro la stessa aria di certi individui;60;0
2;144900; @sergienrica;una mossa di una bassezza infinita. indecente. fuori la becera politica da tiktok!;30;0
2;144900; @ertraffikspingeichili;NO POLITICA SU TIKTOK;60;0
2;144900; @uccidetemigrazie;Fare propaganda politica in un app per ragazzini  ✅😳😳 sempre sul pezzo complimenti;49;0
2;144900; @alessia.miceliih;Un paese civile funziona senza il razzismo;42;0
2;144900; @gia.nnex;madoooo  c’era 1 social senza salvini  ora nemmeno quello ci è rimasto. (comunque troppo bello vedere come nessuno su tiktok lo voglia);39;0
2;144900; @user92348975;sbagli. se scappi dalla guerra dalla morte per salvare i tuoi bambini  in cerca di aiuto  non badi ai documenti  anche perché non li avrai.;13;0
2;144900; @daisy4seokjinie;felice di poterti insultare anche qui;146;0
2;144900; @edoardo.maturo;Un social popolato da giovani che sta respingendo Salvini  forse abbiamo ancora una speranza. Forza ragazzi!!;6;0
2;144900; @mary_viola_77;Senatore la politica la si fa in Senato e non sui social;20;0
2;144900; @serepisastark;Ti insulteremo anche qui;47;0
2;144900; @xdarkninja;grande salvini;5;1
2;144900; @raffaellagu;Simo controllati sempre  anche nel nostro tempo libero  di svago...La politica qui no!..Al di là dell' ideologia individuale;20;0
2;144900; @elena02444;non puoi stare qua ci sono molti bambini e tu insegni solo ad essere razzista via via;10;0
2;144900; @lyledmuc;Ti aspettiamo su Tumblr se hai il coraggio. Ti insulterebbero da tutto il mondo.;31;0
2;144900; @ciao_gio04;vorrei vederti te su un barcone a datore la fame e il freddo per poi essere rimandato in Italia!!!!;21;0
2;144900; @luigiloporto;Guarda quanti profili falsi commentano pro lega;25;0
3;454900; @chiamatemikim;Nelle regole di tiktok c’é scritto espressamente NO POLITICA  quindi non é il posto per te mister 😔🤘🏻;3891;0
3;454900; @dolceroxy76;Non siamo al circo vattene 🤡🤡🤡🤡;2771;0
3;454900; @stellabellingeri;Tiktok ERA un posto così bello. Mi scusi signor Salvini ma non credo che questo sia il luogo adatto a lei.;2336;0
3;454900; @francioposa;“Fra dovresti studiare” io che trovo qualsiasi scusa per non farlo;1171;0
3;454900; @laragazzacheamaleggere;non sapevo che tik tok fosse un circo🤡;945;0
3;454900; @stoproby;Ah ecco perché stanno facendo le deforestazioni allora;703;0
3;454900; @marcoruggie;Povera Italia... tra te e la meloni siamo messi davvero bene! 🤦🏻‍♂;701;0
3;454900; @eh.boh_;FRA NON È CHE SE NON SEI PIÙ MINISTRO DEGLI INTERNI ALLORA DEVI FARE ALBERTO ANGELA TAROCCO;227;0
3;454900; @girl_gamer890;Ma su tik tok non c'era scritto espressamente NO POLITICA?;463;0
3;454900; @gaiamacrì;Ma te ne vai? Buffone;515;0
3;454900; @aomachecazzovoi;quel povero albero starà bestemmiando in turco;880;0
3;454900; @user6988491;Madonna questo pure qua sta [cry];932;0
3;454900; @desideria.cucchiara;É un’applicazione per bambini che si divertano  non portiamo politica di nessun partito qui  che sia di destra o di sinistra. Per favore.;551;0
3;454900; @orion_stat;Venire su Tik Tok per parlare della decapitazione del santo patrono con la musica della Santa Messa... ma va a mandare in malora qualche altro Paese.;371;0
3;454900; @storymilanstory42;Nemmeno berlusconi in 20 anni.... Oramai è arrivato dappertutto.... Tra poco me lo trovo pure su boing quando i miei figli guardano i cartoni;264;0
3;454900; @mr.wolf230;anche qua. UN INCUBOO;958;0
3;454900; @orazioliccio97;Io sono scioccato ma lavoraaaa;243;0
3;454900; @moralizzatore;Salvini dacci i soldini!;153;0
3;454900; @elenalami_;Non sai come si trattano degli esseri umani in difficoltà ma sai che l’ulivo più antico dell’Umbria ha 1700 anni. Vabbè  ci accontentiamo.;178;0
3;454900; @angelo.yin;Adoro leggere i commenti sotto i video di SALVINI 😂❤;133;0
3;454900; @bet.ty;salvini  scarica tiktok per arrivare ai ragazzi ragazzi lo insultano come non ci fosse un domani nei commenti. Salvini 🤡🤡;116;0
3;454900; @lorenzospoletini;Esci dai social. Non posso bloccarti dappertutto;137;0
3;454900; @erikalaino;Dovevi usare il suono “CLOWN CHECK” 🤡;113;0
3;454900; @yowine;E fu così che ho dovuto dire addio anche a Tk tok. Rip;131;0
3;454900; @simo_patruno_;Se questa è l’Italia penso di non voler essere italiana;72;0
3;454900; @_ale_red;Ti prego  già sei dappertutto  anche Tik Tok no grazie🥵;66;0
3;454900; @_auror4_;Salvini ho una cosa per te 👨🏿‍🦱👨🏿‍🦱👨🏿‍🦱👩🏿‍🦳👨🏿‍🦳👨🏿‍🦳 ecco 🖤;84;0
3;454900; @mary_viola_77;Tik tok non è più un posto sicuro;49;0
3;454900; @alice.ventura;Ora chiudo TikTok e lo riapro perché penso di aver visto male;40;0
3;454900; @nooonsochenomeusare;chi sono i 10 mila pagliacci che seguono sto pagliaccione?🤡🤮;64;0
3;454900; @artistidistrada;Salvini sei solo un meme vivente. Sbrigati a sparire da qui...;36;0
3;454900; @ferrerdanielreal;NO VABBÈ;105;0
3;454900; @lorysso;Ciao mi fai entrare in politica;75;0
3;454900; @patrikglue;Prima o poi lo vedrò anche nell’oblò della lavatrice 🤢🤮🤢🤮;48;0
3;454900; @gabrielacoronelva39;Nooooooo come si fa a bloccarlo? Mi sa che ci è rimasto male per il successo del remix della Meloni. Ciao fasci[wicked];100;0
3;454900; @dfairyyyy;Era l'unico social rimasto senza politica  che tristezza;42;0
3;454900; @pooleenaa;sì okay ma io preferisco Alberto Angela;39;0
3;454900; @polifemo21;fatti decapitare pure tu.........fallo per gli italiani.......✌;45;0
3;454900; @rimpibasra;sig salvini con tutto rispetto...vi posso chiedere una cosa..perfavore non usare tiktok perche qui stano millione persone che non hanno i documenti..;62;0
3;454900; @girolamosimeone;Trovati un lavoro vero;6;0
3;454900; @drakk_richard;Salvini  metà tiktok é lgbt  non credo sia il tuo posto;12;0
3;454900; @andr.ess;LO SEGNALIAMO?—->;11;0
3;454900; @chiaraascuraaa;Storia come la laurea che non sei riuscito mai a prendere? 😂;7;0
3;454900; @robertoscalese5;pure qua sta questo. come si blocca?;39;0
3;454900; @user4965531225608;pure qui?...ma è un incubo[angry];48;0
3;454900; @samuelefailli;Sei qui per spiegarci dove sono i 49M?;5;0
3;454900; @.jessiica;POVERO MONDO;38;0
3;454900; @concetto64;cavolo ma esci da tutti i buchi?;8;0
3;454900; @zzraszz;1700 anni di olivo Il giorno dopo la visita di salvini si è tolto la vita;15;0
3;454900; @funnyfeer;Io spero che ogni persona che veda lo segnali! Così che non permettiamo più a questo deficiente di diffondere odio e ignoranza grazie!!;12;0
4;321900; @uginsiko72;ormai come unica speranza ci è rimasta l'estinzione.;1622;0
4;321900; @danieledavi;Sparisci. ora.;2683;0
4;321900; @stefaniadellipaoli;Ci troviamo in una puntata di Black Mirror. È l'unica spiegazione.;1080;0
4;321900; @_pietro_smusi_vdk;si ma pure su tiktok no è;965;0
4;321900; @eugeniolaurenzi;Venezia affonda dopo 20 anni di lega... e questo canta “le canzoni dei drogati”;731;0
4;321900; @angelolauro65;Che bello ti posso insultare anche su TikTok;527;0
4;321900; @lulalunettalunarella;povera Italia in che mano.siamo Dio mio;633;0
4;321900; @carrieblak;Questo è un posto per divertirci non per fare propaganda politica;285;0
4;321900; @unrossonero;L’uomo più triste d’Italia ( voleva pure cambiare l’inno );371;0
4;321900; @gigibombarolo;Potrebbe anche fare un video dove rutta a caso e ci sarebbe la sfilza di adepti a scrivere “SeI Un gRaNdE CapITaNo !!11!1!” Studiate capre!;402;0
4;321900; @elleyinwonderland23;#salvinifuoridiqui;248;0
4;321900; @ki4radogna;Non ci resta che piangere;273;0
4;321900; @cristianivanfatto;lui è italiano puro . È uno di noi.;205;1
4;321900; @moonct;ma quando lavori????;246;0
4;321900; @lorierifrance;le urla dei fasci appesi le ricordavo più stridule;198;0
4;321900; @pumpkinmama;Vecchi tornatevene su Facebook;249;0
4;321900; @a.drago;questo pur di prendere voti con i suoi concetti basati sul nulla cosmico viene pure qua’ si sono mangiati il Veneto e Venezia con il mose;169;0
4;321900; @matteoawu;Noooooooo pure quiiiiii;167;0
4;321900; @mr.wolf230;oddio che incubo!;180;0
4;321900; @simonepiomboni;AVANTI TUTTA CAPITANOOOO!!!!💪💪💪💪💪;118;1
4;321900; @desideria.cucchiara;fortuna che è Alba CHIARA  se era scusa mica la cantava;109;0
4;321900; @giacbor;menomale che ero sul water;86;0
4;321900; @mary_viola_77;Cosa non si fa per elemosinare voti.;87;0
4;321900; @massimomichaelide;questo si è un capitano ma del TITANIC...🤯🤯🤯😬😬;88;0
4;321900; @fefe.lyy;Per fortuna non era Alba scura  altrimenti non la cantava;119;0
4;321900; @vennygiuly;Non ho mai desiderato così tanto di avere un tasto “non mi piace”.;117;0
4;321900; @alice.ventura;Ma via da qui;59;0
4;321900; @armandobetti2000;ma da quando i politici su tiktok..;65;0
4;321900; @aomachecazzovoi;faresti un favore a tutti;9;0
4;321900; @lorysso;Cantiamo insieme salvino;43;1
4;321900; @davide_troia_95;Quando chiederai scusa a Ilaria Cucchi?;38;0
4;321900; @lil.arix;se potessimo votare noi minorenni  mo staresti facendo i fungi ngulo;82;0
4;321900; @user5ja50bts68;Se vede che hai tanto tempo libero;55;0
4;321900; @texame;Italia in ginocchio e loro cantano 🤷🏻‍♂;47;0
4;321900; @hittingthewoah69;Noi volevamo solo stare in pace su un social non contaminato;105;0
4;321900; @littlebodybigass;ma può un politico iscriversi a Tik Tok social ideato per puro divertimento  possi capire Twitter  Instagram e Facebook ma Tik Tok no!;35;0
4;321900; @susanna.bla;pagliaccio🤡🤡;70;0
4;321900; @marcellxs;ora siamo messi proprio male;68;0
4;321900; @paleroselipz;ma non lavori mai te;49;0
4;321900; @biancaamodeo;io sono senza parole qualcuno lo fermi una volta per tutte;54;0
4;321900; @sciottinaa;Giuro;37;0
4;321900; @nerodefcon;Dovrebbero vietare i social ad ogni politico... siamo la commedia d'Europa e non solo... Ecco a voi come si fa politica in questo paese! braviii 👏👏;19;0
4;321900; @itsarahw;Sta tranquillo metto non mi interessa e risolviamo tutto❤;30;0
4;321900; @sofiacovacaiazzo;"io non capisco come la gente faccia a chiamarlo ""capitano""....";14;0
4;321900; @marcellxs;no raga no;37;0
4;321900; @alessandra_ciccone;Ma che c’entrano i documentari horror con tiktok???😳;7;0
4;321900; @al3ssiaaaaaaa;Non solo ci rovina l’Italia  ora pure tiktok @itz..asia_;43;0
4;321900; @manuwu_;raga io lo blocco;38;0
4;321900; @user251975834316411;Penso che avresti fatto più fortuna nel canto anziché la politica fidati[smile][funnyface];23;0
4;321900; @annapearrrr;come rovinare una delle canzoni più belle italiane;12;0
5;129600; @tommypuccio;grazie Matteo per essere qui! finalmente posso insultarti in un social dove non mi hai bloccato @tommypuccio grazie Matteo per essere qui! finalmente posso insultarti in un social dove non mi hai bloccato!;1489;0
5;129600; @ale_xia_k;ah già  qui è pieno di sostenitori LGBT e sono tutti contro il razzismo. sei capitato nel posto sbagliato 🤡🤡;870;0
5;129600; @ciaaang;Finalmente hai aperto un nuovo profilo  negli altri social mi hai bloccato ovunque 😪;445;0
5;129600; @ertraffikspingeichili;vi immaginate lui che fa i tiktok  i trend.....;383;0
5;129600; @astrolabium;In effetti  tu ci stai riportando al Medioevo;314;0
5;129600; @sofiacovacaiazzo;"io non capisco come la gente faccia a chiamarlo ""capitano""...";287;0
5;129600; @aomachecazzovoi;ti reputi cristiano e poi fai morire la gente in mare. ma strozzatece co quella croce non basta andare in chiesa per essere cristiani  ritardato;313;0
5;129600; @melsthegrey;Amo ma lo sai che Thanos muore due volte nello stesso film? Così  per dire;83;0
5;129600; @valentinacaruso93;Ti stimo... Per me sei un grande;83;1
5;129600; @xyallyus;ecco perché l'Italia non va avanti;225;0
5;129600; @liviamiletto;Mo vogliamo un tutorial su come riuscire ad abbinare perfettamente il crocefisso ad ogni outfit e per ogni occasione d’uso;112;0
5;129600; @luca.dnn.01;FUORI DA TIKTOK;116;0
5;129600; @sueisfine;Ho scaricato Tiktok solo per insultarti 💕;94;0
5;129600; @pietrobennardo;E levate!;110;0
5;129600; @nikok82;sei cringissimo;86;0
5;129600; @edgycuck;un politico non dovrebbe stare su un'app per bambini;91;0
5;129600; @storymilanstory42;Ahahahaahh.....Che bassezza.....;62;0
5;129600; @mattialeonardi78;come voler prendere la mente ai 14enni per gonfiare il portafoglio;76;0
5;129600; @eugeniolaurenzi;Non ti vogliamo qua! Siamo progressisti! Amiamo i migranti  i gay  le lesbiche! E ci piace pure la droga!;35;0
5;129600; @ludovicoalessandro;Mattè mi spiace ma non siamo il tuo elettorato. i ragazzi sono di tutt'altra pasta! 🏳‍🌈🏳‍🌈🏳‍🌈🏳‍🌈🇪🇺;12;0
5;129600; @tetolui;Se dopo tanti anni non si riconosce il MARCIO in personaggi come Salvini, Berlusconi, Renzi o la Meloni forse il MARCIO è dentro di voi.;40;0
5;129600; @ale_xia_k;Strano che ti sia iscritto su Tiktok  un social CINESE dove  ti ricordo gentilmente  al governo c'è il partito comunista;49;0
