# value;Name;Date;PriceUSD;Supply Currency;Mrkt Cap
94;Stellar;01/01/17;0,0;102.470.410.288;252.763.467
95;Stellar;01/02/17;0,0;102.470.410.288;240.300.360
96;Stellar;01/03/17;0,0;102.646.433.897;177.693.971
97;Stellar;01/04/17;0,0;102.763.943.946;274.647.617
98;Stellar;01/05/17;0,0;102.861.941.133;529.249.477
99;Stellar;01/06/17;0,0;102.940.435.314;4.368.303.616
100;Stellar;01/07/17;0,0;103.038.637.279;2.509.436.106
101;Stellar;01/08/17;0,0;103.136.932.926;1.843.433.552
102;Stellar;01/09/17;0,0;103.215.636.954;2.481.697.117
103;Stellar;01/10/17;0,0;103.294.401.041;1.412.576.338
104;Stellar;01/11/17;0,0;103.392.940.678;2.837.949.370
105;Stellar;01/12/17;0,1;103.471.840.067;9.227.061.049
106;Stellar;01/01/18;0,5;103.550.799.663;50.498.923.314
107;Stellar;01/02/18;0,4;103.649.583.897;46.282.619.930
108;Stellar;01/03/18;0,3;103.728.679.130;34.967.709.199
109;Stellar;01/04/18;0,2;103.807.834.721;21.276.716.738
110;Stellar;01/05/18;0,4;103.906.864.158;45.461.222.927
111;Stellar;01/06/18;0,3;103.986.155.722;30.002.646.716
112;Stellar;01/07/18;0,2;104.065.507.794;20.689.744.850
113;Stellar;01/08/18;0,3;104.164.783.043;28.908.977.958
114;Stellar;01/09/18;0,2;104.244.271.426;23.935.129.077
115;Stellar;01/10/18;0,3;104.323.820.467;26.822.478.642
116;Stellar;01/11/18;0,2;104.423.342.138;23.374.277.669
117;Stellar;01/12/18;0,2;104.503.027.828;16.998.699.808
118;Stellar;01/01/19;0,1;104.602.720.458;11.918.904.996
119;Litecoin;01/01/17;4,5;49.144.354;219.932.699
120;Litecoin;01/02/17;4,0;49.605.031;200.807.535
121;Litecoin;01/03/17;3,9;50.005.632;192.716.813
122;Litecoin;01/04/17;7,6;50.446.332;383.556.551
123;Litecoin;01/05/17;16,1;50.894.382;819.760.252
124;Litecoin;01/06/17;27,3;51.370.682;1.402.529.501
125;Litecoin;01/07/17;38,1;51.800.232;1.974.436.159
126;Litecoin;01/08/17;43,1;52.273.032;2.254.189.551
127;Litecoin;01/09/17;87,9;52.740.307;4.634.597.919
128;Litecoin;01/10/17;54,7;53.188.582;2.910.536.735
129;Litecoin;01/11/17;53,3;53.640.032;2.858.278.222
130;Litecoin;01/12/17;98,7;54.085.908;5.336.375.979
131;Litecoin;01/01/18;224,8;54.573.983;12.269.171.410
132;Litecoin;01/02/18;141,2;55.026.783;7.768.906.218
133;Litecoin;01/03/18;209,3;55.438.108;11.601.471.012
134;Litecoin;01/04/18;114,6;55.899.358;6.407.679.668
135;Litecoin;01/05/18;148,0;56.345.883;8.338.636.059
136;Litecoin;01/06/18;119,9;56.798.308;6.812.740.657
137;Litecoin;01/07/18;79,9;57.228.633;4.572.241.519
138;Litecoin;01/08/18;77,6;57.669.446;4.473.169.377
139;Litecoin;01/09/18;66,3;58.113.596;3.851.788.920
140;Litecoin;01/10/18;60,0;58.546.946;3.513.636.713
141;Litecoin;01/11/18;50,1;58.987.646;2.955.758.008
142;Litecoin;01/12/18;33,8;59.403.046;2.005.601.397
143;Litecoin;01/01/19;31,6;59.848.121;1.893.950.928
144;Tether;01/01/17;1,0;9.951.600;9.940.406
145;Tether;01/02/17;1,0;24.951.600;25.053.117
146;Tether;01/03/17;1,0;24.951.600;24.943.292
147;Tether;01/04/17;1,0;54.951.600;54.930.633
148;Tether;01/05/17;0,9;64.951.600;61.451.630
149;Tether;01/06/17;1,0;124.951.600;130.361.353
150;Tether;01/07/17;1,0;244.951.600;251.114.711
151;Tether;01/08/17;1,0;324.951.600;324.417.830
152;Tether;01/09/17;1,0;324.951.600;327.220.993
153;Tether;01/10/17;1,0;444.951.600;442.395.032
154;Tether;01/11/17;1,0;469.951.600;471.711.982
155;Tether;01/12/17;1,0;820.000.000;833.463.137
156;Tether;01/01/18;1,0;1.400.000.000;1.408.057.334
157;Tether;01/02/18;1,0;2.220.000.000;2.167.234.389
158;Tether;01/03/18;1,0;2.220.000.000;2.216.169.231
159;Tether;01/04/18;1,0;2.520.000.000;2.521.164.263
160;Tether;01/05/18;1,0;2.520.000.000;2.516.709.172
161;Tether;01/06/18;1,0;2.770.000.000;2.765.804.261
162;Tether;01/07/18;1,0;3.020.000.000;3.012.309.315
163;Tether;01/08/18;1,0;3.020.000.000;3.017.594.096
164;Tether;01/09/18;1,0;3.020.000.000;3.013.238.557
165;Tether;01/10/18;1,0;3.020.000.000;3.004.504.165
166;Tether;01/11/18;1,0;2.520.000.000;2.495.835.966
167;Tether;01/12/18;1,0;2.520.000.000;2.491.354.121
168;Tether;01/01/19;1,0;2.520.000.000;2.530.914.916
169;Cardano;01/12/17;0,1;31.112.484.745;4.043.204.578
170;Cardano;01/01/18;0,7;31.112.484.745;22.940.934.532
171;Cardano;01/02/18;0,4;31.112.484.745;12.748.841.208
172;Cardano;01/03/18;0,3;31.112.484.745;9.345.560.474
173;Cardano;01/04/18;0,1;31.112.484.745;4.577.308.973
174;Cardano;01/05/18;0,4;31.112.484.745;11.030.574.108
175;Cardano;01/06/18;0,2;31.112.484.745;6.849.083.455
176;Cardano;01/07/18;0,1;31.112.484.745;4.467.655.457
177;Cardano;01/08/18;0,1;31.112.484.745;4.343.436.831
178;Cardano;01/09/18;0,1;31.112.484.745;3.327.376.119
179;Cardano;01/10/18;0,1;31.112.484.745;2.608.042.795
180;Cardano;01/11/18;0,1;31.112.484.745;2.195.055.324
181;Cardano;01/12/18;0,0;31.112.484.745;1.274.564.825
182;Cardano;31/12/18;0,0;31.112.484.745;1.260.209.869
183;Monero;01/01/17;13,8;13.668.381;188.642.436
184;Monero;01/02/17;13,3;13.866.093;183.803.840
185;Monero;01/03/17;12,4;14.037.396;173.740.869
186;Monero;01/04/17;21,1;14.220.249;300.109.009
187;Monero;01/05/17;23,0;14.389.784;330.547.779
188;Monero;01/06/17;44,0;14.559.125;640.483.973
189;Monero;01/07/17;41,2;14.716.690;606.231.164
190;Monero;01/08/17;44,2;14.872.516;657.131.558
191;Monero;01/09/17;143,0;15.022.472;2.147.669.248
192;Monero;01/10/17;93,2;15.160.601;1.413.273.286
193;Monero;01/11/17;85,6;15.297.396;1.308.733.051
194;Monero;01/12/17;187,6;15.424.541;2.894.127.076
195;Monero;01/01/18;341,7;15.551.648;5.314.213.794
196;Monero;01/02/18;238,7;15.672.925;3.741.772.204
197;Monero;01/03/18;312,8;15.777.572;4.934.536.094
198;Monero;01/04/18;174,4;15.888.851;2.770.630.238
199;Monero;01/05/18;239,3;15.988.268;3.825.466.859
200;Monero;01/06/18;157,5;16.090.257;2.534.791.790
201;Monero;01/07/18;129,3;16.185.391;2.092.090.847
202;Monero;01/08/18;128,2;16.279.604;2.087.379.670
203;Monero;01/09/18;121,8;16.369.969;1.993.421.728
204;Monero;01/10/18;114,1;16.453.744;1.877.120.505
205;Monero;01/11/18;103,5;16.536.403;1.712.069.638
206;Monero;01/12/18;59,0;16.612.993;980.252.156
207;Monero;01/01/19;47,8;16.689.175;797.189.382
208;Binance Coin;01/08/17;0,1;200.000.000;19.962.321
209;Binance Coin;01/09/17;2,3;200.000.000;464.604.338
210;Binance Coin;01/10/17;1,5;200.000.000;304.281.930
211;Binance Coin;01/11/17;1,3;199.013.968;250.824.458
212;Binance Coin;01/12/17;2,1;199.013.968;410.921.456
213;Binance Coin;01/01/18;8,4;199.013.968;1.676.705.273
214;Binance Coin;01/02/18;9,3;197.192.382;1.835.410.750
215;Binance Coin;01/03/18;10,5;197.192.382;2.067.862.990
216;Binance Coin;01/04/18;11,0;197.192.382;2.177.927.469
217;Binance Coin;01/05/18;14,1;194.972.068;2.753.464.967
218;Binance Coin;01/06/18;14,2;194.972.068;2.770.667.298
219;Binance Coin;01/07/18;14,4;194.972.068;2.798.062.179
220;Binance Coin;01/08/18;13,6;192.443.301;2.612.021.322
221;Binance Coin;01/09/18;11,4;192.443.301;2.195.584.538
222;Binance Coin;01/10/18;9,9;192.443.301;1.905.694.968
223;Binance Coin;01/11/18;9,5;190.799.315;1.813.621.132
224;Binance Coin;01/12/18;5,2;190.799.315;994.155.190
225;Binance Coin;01/01/19;6,0;190.799.308;1.144.424.713
226;Dash;01/01/17;11,4;6.992.863;79.779.320
227;Dash;01/02/17;15,9;7.065.795;112.451.565
228;Dash;01/03/17;43,3;7.132.405;308.686.113
229;Dash;01/04/17;73,5;7.200.390;529.518.192
230;Dash;01/05/17;88,4;7.264.739;642.470.188
231;Dash;01/06/17;137,1;7.331.964;1.005.271.154
232;Dash;01/07/17;163,8;7.396.412;1.211.844.202
233;Dash;01/08/17;183,7;7.462.044;1.370.623.646
234;Dash;01/09/17;398,6;7.527.775;3.000.212.307
235;Dash;01/10/17;315,9;7.591.367;2.398.333.749
236;Dash;01/11/17;270,8;7.657.167;2.073.427.541
237;Dash;01/12/17;783,1;7.722.388;6.047.585.900
238;Dash;01/01/18;1.022,9;7.788.962;7.967.244.343
239;Dash;01/02/18;610,1;7.853.835;4.791.988.296
240;Dash;01/03/18;616,2;7.914.196;4.876.550.942
241;Dash;01/04/18;290,2;7.980.398;2.315.807.038
242;Dash;01/05/18;478,2;8.041.396;3.845.290.722
243;Dash;01/06/18;314,7;8.103.995;2.550.371.573
244;Dash;01/07/18;236,2;8.164.865;1.928.706.426
245;Dash;01/08/18;218,9;8.227.881;1.800.731.511
246;Dash;01/09/18;220,7;8.290.778;1.830.009.189
247;Dash;01/10/18;186,7;8.351.848;1.559.259.111
248;Dash;01/11/18;152,7;8.420.630;1.286.152.045
249;Dash;01/12/18;93,7;8.475.590;794.535.624
250;Dash;01/01/19;80,0;8.544.482;683.374.318
251;Nem;01/01/17;0,0;8.999.999.999;30.544.884
252;Nem;01/02/17;0,0;8.999.999.999;49.396.589
253;Nem;01/03/17;0,0;8.999.999.999;70.866.070
254;Nem;01/04/17;0,0;8.999.999.999;160.034.175
255;Nem;01/05/17;0,1;8.999.999.999;468.807.213
256;Nem;01/06/17;0,2;8.999.999.999;2.021.537.811
257;Nem;01/07/17;0,1;8.999.999.999;1.300.322.175
258;Nem;01/08/17;0,2;8.999.999.999;1.630.534.140
259;Nem;01/09/17;0,3;8.999.999.999;3.019.538.908
260;Nem;01/10/17;0,2;8.999.999.999;2.215.310.192
261;Nem;01/11/17;0,2;8.999.999.999;1.507.981.461
262;Nem;01/12/17;0,2;8.999.999.999;2.124.099.420
263;Nem;01/01/18;1,0;8.999.999.999;9.155.828.474
264;Nem;01/02/18;0,6;8.999.999.999;5.768.803.000
265;Nem;01/03/18;0,4;8.999.999.999;3.632.564.209
266;Nem;01/04/18;0,2;8.999.999.999;1.874.062.927
267;Nem;01/05/18;0,4;8.999.999.999;3.626.055.648
268;Nem;01/06/18;0,3;8.999.999.999;2.280.083.323
269;Nem;01/07/18;0,2;8.999.999.999;1.508.248.165
270;Nem;01/08/18;0,2;8.999.999.999;1.434.835.679
271;Nem;01/09/18;0,1;8.999.999.999;1.002.337.535
272;Nem;01/10/18;0,1;8.999.999.999;931.290.916
273;Nem;01/11/18;0,1;8.999.999.999;818.789.874
274;Nem;01/12/18;0,1;8.999.999.999;696.926.130
275;Nem;01/01/19;0,1;8.999.999.999;587.109.582
276;Ethereum Classic;01/01/17;1,4;87.651.533;121.718.974
277;Ethereum Classic;01/02/17;1,3;88.646.760;119.634.530
278;Ethereum Classic;01/03/17;1,4;89.537.962;125.587.201
279;Ethereum Classic;01/04/17;2,7;90.499.438;247.976.164
280;Ethereum Classic;01/05/17;6,8;91.430.384;617.358.356
281;Ethereum Classic;01/06/17;16,2;92.407.760;1.501.119.905
282;Ethereum Classic;01/07/17;16,5;93.353.180;1.544.252.034
283;Ethereum Classic;01/08/17;14,6;94.331.519;1.373.948.589
284;Ethereum Classic;01/09/17;22,4;95.310.018;2.135.005.454
285;Ethereum Classic;01/10/17;12,8;96.254.753;1.233.160.882
286;Ethereum Classic;01/11/17;10,2;97.228.308;992.682.266
287;Ethereum Classic;01/12/17;29,6;98.179.462;2.908.785.468
288;Ethereum Classic;01/01/18;29,7;98.999.355;2.937.756.167
289;Ethereum Classic;01/02/18;24,5;99.744.675;2.443.295.009
290;Ethereum Classic;01/03/18;33,5;100.407.786;3.364.136.473
291;Ethereum Classic;01/04/18;13,5;101.094.655;1.368.856.029
292;Ethereum Classic;01/05/18;21,5;101.675.949;2.181.890.218
293;Ethereum Classic;01/06/18;15,5;102.173.767;1.580.320.712
294;Ethereum Classic;01/07/18;16,1;102.908.639;1.653.347.776
295;Ethereum Classic;01/08/18;15,4;103.666.971;1.601.124.501
296;Ethereum Classic;01/09/18;13,2;104.425.494;1.375.314.325
297;Ethereum Classic;01/10/18;11,2;105.158.758;1.175.180.277
298;Ethereum Classic;01/11/18;9,0;105.916.011;955.310.231
299;Ethereum Classic;01/12/18;4,8;106.647.185;509.975.407
300;Ethereum Classic;01/01/19;5,2;107.404.665;553.380.012
301;Neo;01/08/17;7,9;100.000.000;794.973.883
302;Neo;01/09/17;31,3;100.000.000;3.132.454.989
303;Neo;01/10/17;35,5;100.000.000;3.553.291.985
304;Neo;01/11/17;27,0;100.000.000;2.698.434.134
305;Neo;01/12/17;35,7;100.000.000;3.573.362.731
306;Neo;01/01/18;79,1;100.000.000;7.913.663.233
307;Neo;01/02/18;124,1;100.000.000;12.413.105.724
308;Neo;01/03/18;128,2;100.000.000;12.817.110.915
309;Neo;01/04/18;47,2;100.000.000;4.716.810.431
310;Neo;01/05/18;84,2;100.000.000;8.416.118.099
311;Neo;01/06/18;55,6;100.000.000;5.561.633.648
312;Neo;01/07/18;31,3;100.000.000;3.126.891.279
313;Neo;01/08/18;29,6;100.000.000;2.960.461.042
314;Neo;01/09/18;22,5;100.000.000;2.250.433.504
315;Neo;01/10/18;18,6;100.000.000;1.856.375.434
316;Neo;01/11/18;15,7;100.000.000;1.566.200.184
317;Neo;01/12/18;8,1;100.000.000;806.856.235
318;Neo;01/01/19;7,8;100.000.000;776.276.964
319;Zcash;01/01/17;48,1;349.786;16.837.995
320;Zcash;01/02/17;39,9;571.448;22.807.722
321;Zcash;01/03/17;41,6;772.098;32.092.337
322;Zcash;01/04/17;61,8;994.148;61.468.003
323;Zcash;01/05/17;91,1;1.209.323;110.192.630
324;Zcash;01/06/17;247,3;1.431.548;354.066.621
325;Zcash;01/07/17;277,7;1.646.998;457.321.084
326;Zcash;01/08/17;191,4;1.868.948;357.709.616
327;Zcash;01/09/17;310,5;2.091.336;649.296.481
328;Zcash;01/10/17;266,8;2.306.198;615.257.815
329;Zcash;01/11/17;222,0;2.528.073;561.357.587
330;Zcash;01/12/17;330,6;2.742.786;906.754.159
331;Zcash;01/01/18;534,5;2.964.886;1.584.648.225
332;Waves;01/01/17;0,2;100.000.000;22.073.946
333;Waves;01/02/17;0,2;100.000.000;23.309.290
334;Waves;01/03/17;0,2;100.000.000;22.916.465
335;Waves;01/04/17;0,4;100.000.000;42.979.648
336;Waves;01/05/17;0,6;100.000.000;58.804.217
337;Waves;01/06/17;3,7;100.000.000;372.157.939
338;Waves;01/07/17;3,8;100.000.000;384.676.848
339;Waves;01/08/17;3,1;100.000.000;310.241.012
340;Waves;01/09/17;5,9;100.000.000;590.883.733
341;Waves;01/10/17;5,1;100.000.000;510.995.153
342;Waves;01/11/17;2,9;100.000.000;294.455.507
343;Waves;01/12/17;5,7;100.000.000;565.130.424
344;Waves;01/01/18;12,5;100.000.000;1.246.864.913
345;Waves;01/02/18;6,6;100.000.000;657.802.006
346;Waves;01/03/18;6,6;100.000.000;661.849.215
347;Waves;01/04/18;3,5;100.000.000;349.046.269
348;Waves;01/05/18;6,8;100.000.000;680.536.463
349;Waves;01/06/18;4,1;100.000.000;412.135.631
350;Waves;01/07/18;2,9;100.000.000;286.908.538
351;Waves;01/08/18;2,2;100.000.000;224.287.632
352;Waves;01/09/18;2,2;100.000.000;222.220.395
353;Waves;01/10/18;2,1;100.000.000;213.605.825
354;Waves;01/11/18;1,9;100.000.000;185.014.111
355;Waves;01/12/18;1,4;100.000.000;138.929.085
356;Waves;01/01/19;3,1;100.000.000;312.550.450
357;Dogecoin;01/01/17;0,0;107.493.315.652;24.481.813
358;Dogecoin;01/02/17;0,0;107.920.665.652;23.048.517
359;Dogecoin;01/03/17;0,0;108.305.765.652;21.602.115
360;Dogecoin;01/04/17;0,0;108.732.755.652;36.401.609
361;Dogecoin;01/05/17;0,0;109.144.105.652;73.955.290
362;Dogecoin;01/06/17;0,0;109.572.925.652;292.812.803
